Date,decision
2023-01-06 15:00:00+00:00,1
2023-01-19 06:00:00+00:00,1
2023-01-25 12:00:00+00:00,1
2023-01-25 16:00:00+00:00,1
2023-01-31 07:00:00+00:00,1
2023-02-06 00:00:00+00:00,1
2023-02-06 07:00:00+00:00,1
2023-02-09 09:00:00+00:00,1
2023-02-10 07:00:00+00:00,1
2023-02-13 20:00:00+00:00,1
2023-02-20 05:00:00+00:00,1
2023-02-22 10:00:00+00:00,1
2023-02-22 22:00:00+00:00,1
2023-02-25 06:00:00+00:00,1
2023-02-25 11:00:00+00:00,1
2023-03-03 17:00:00+00:00,1
2023-03-04 23:00:00+00:00,1
2023-03-08 00:00:00+00:00,1
2023-03-08 10:00:00+00:00,1
2023-03-09 13:00:00+00:00,1
2023-03-10 08:00:00+00:00,1
2023-03-23 06:00:00+00:00,1
2023-03-25 22:00:00+00:00,1
2023-03-28 06:00:00+00:00,1
2023-03-28 11:00:00+00:00,1
2023-03-31 03:00:00+00:00,1
2023-04-03 00:00:00+00:00,1
2023-04-03 07:00:00+00:00,1
2023-04-17 22:00:00+00:00,1
2023-04-18 02:00:00+00:00,1
2023-04-20 06:00:00+00:00,1
2023-04-20 12:00:00+00:00,1
2023-04-21 02:00:00+00:00,1
2023-04-21 07:00:00+00:00,1
2023-04-22 05:00:00+00:00,1
2023-04-24 20:00:00+00:00,1
2023-05-01 23:00:00+00:00,1
2023-05-07 00:00:00+00:00,1
2023-05-08 14:00:00+00:00,1
2023-05-08 22:00:00+00:00,1
2023-05-12 00:00:00+00:00,1
2023-05-12 13:00:00+00:00,1
2023-05-17 16:00:00+00:00,1
2023-05-19 05:00:00+00:00,1
2023-05-22 06:00:00+00:00,1
2023-05-24 21:00:00+00:00,1
2023-05-25 03:00:00+00:00,1
2023-05-31 19:00:00+00:00,1
2023-06-01 08:00:00+00:00,1
2023-06-06 02:00:00+00:00,1
2023-06-10 17:00:00+00:00,1
2023-06-15 13:00:00+00:00,1
2023-06-26 06:00:00+00:00,1
2023-07-05 04:00:00+00:00,1
2023-07-05 18:00:00+00:00,1
2023-07-07 06:00:00+00:00,1
2023-07-07 09:00:00+00:00,1
2023-07-10 09:00:00+00:00,1
2023-07-15 10:00:00+00:00,1
2023-07-16 06:00:00+00:00,1
2023-07-17 22:00:00+00:00,1
2023-07-18 18:00:00+00:00,1
2023-07-18 21:00:00+00:00,1
2023-07-21 02:00:00+00:00,1
2023-07-24 22:00:00+00:00,1
2023-07-28 03:00:00+00:00,1
2023-08-01 15:00:00+00:00,1
2023-08-05 05:00:00+00:00,1
2023-08-05 08:00:00+00:00,1
2023-08-07 19:00:00+00:00,1
2023-08-14 03:00:00+00:00,1
2023-08-16 10:00:00+00:00,1
2023-08-16 17:00:00+00:00,1
2023-08-18 00:00:00+00:00,1
2023-08-18 18:00:00+00:00,1
2023-08-19 07:00:00+00:00,1
2023-08-22 23:00:00+00:00,1
2023-08-25 02:00:00+00:00,1
2023-08-25 18:00:00+00:00,1
2023-08-28 12:00:00+00:00,1
2023-09-01 09:00:00+00:00,1
2023-09-01 19:00:00+00:00,1
2023-09-05 09:00:00+00:00,1
2023-09-06 19:00:00+00:00,1
2023-09-10 20:00:00+00:00,1
2023-09-11 04:00:00+00:00,1
2023-09-12 01:00:00+00:00,1
2023-09-22 00:00:00+00:00,1
2023-09-25 13:00:00+00:00,1
2023-09-26 19:00:00+00:00,1
2023-09-26 23:00:00+00:00,1
2023-10-09 18:00:00+00:00,1
2023-10-10 22:00:00+00:00,1
2023-10-11 09:00:00+00:00,1
2023-10-11 23:00:00+00:00,1
2023-10-12 20:00:00+00:00,1
2023-10-26 22:00:00+00:00,1
2023-10-27 03:00:00+00:00,1
