Date,Open,High,Low,Close,Volume
2022-10-19 00:00:00+00:00,7.999,8.595,6.564,7.851,231391732.4
2022-10-19 12:00:00+00:00,7.851,7.915,6.782,7.3,115781807.3
2022-10-20 00:00:00+00:00,7.301,7.74,6.9,7.479,82710991.2
2022-10-20 12:00:00+00:00,7.479,7.499,6.97,7.357,64388173.7
2022-10-21 00:00:00+00:00,7.357,7.68,7.03,7.072,73247247.4
2022-10-21 12:00:00+00:00,7.073,7.58,6.981,7.49,50665952.1
2022-10-22 00:00:00+00:00,7.49,8.547,7.333,8.198,56921574.4
2022-10-22 12:00:00+00:00,8.196,9.28,8.016,8.937,172506583.6
2022-10-23 00:00:00+00:00,8.937,10.2,8.851,9.62,213398277.2
2022-10-23 12:00:00+00:00,9.62,9.839,9.02,9.754,175045308.9
2022-10-24 00:00:00+00:00,9.754,9.874,9.224,9.494,98328852.6
2022-10-24 12:00:00+00:00,9.493,9.962,9.265,9.52,125757322.7
2022-10-25 00:00:00+00:00,9.52,9.555,9.031,9.211,85213369.9
2022-10-25 12:00:00+00:00,9.21,9.48,8.512,8.775,118907973.9
2022-10-26 00:00:00+00:00,8.775,9.28,8.601,8.887,79135948.8
2022-10-26 12:00:00+00:00,8.888,9.259,8.632,9.191,77838868.2
2022-10-27 00:00:00+00:00,9.191,9.63,9.086,9.225,78865192.9
2022-10-27 12:00:00+00:00,9.226,9.288,8.58,8.698,56112161.6
2022-10-28 00:00:00+00:00,8.698,8.826,7.922,8.044,78726649.7
2022-10-28 12:00:00+00:00,8.044,8.444,7.97,8.173,53459583.5
2022-10-29 00:00:00+00:00,8.174,8.367,8.043,8.145,41454409.0
2022-10-29 12:00:00+00:00,8.146,8.225,7.586,7.952,55575472.2
2022-10-30 00:00:00+00:00,7.95,8.384,7.588,7.858,41944153.3
2022-10-30 12:00:00+00:00,7.857,8.049,7.646,7.796,31363374.0
2022-10-31 00:00:00+00:00,7.796,8.219,7.715,7.982,38334529.6
2022-10-31 12:00:00+00:00,7.982,7.999,7.656,7.927,27943502.3
2022-11-01 00:00:00+00:00,7.928,8.261,7.81,8.01,37429051.3
2022-11-01 12:00:00+00:00,8.011,8.318,7.881,8.188,35517367.5
2022-11-02 00:00:00+00:00,8.191,8.206,7.087,7.286,47464567.0
2022-11-02 12:00:00+00:00,7.286,7.456,7.122,7.37,34344867.7
2022-11-03 00:00:00+00:00,7.37,7.559,7.2,7.27,22786981.1
2022-11-03 12:00:00+00:00,7.27,7.427,7.161,7.227,16947300.3
2022-11-04 00:00:00+00:00,7.227,7.451,7.154,7.285,17092545.8
2022-11-04 12:00:00+00:00,7.285,7.785,7.223,7.65,27047907.8
2022-11-05 00:00:00+00:00,7.651,7.87,7.512,7.695,20742107.1
2022-11-05 12:00:00+00:00,7.692,7.999,7.539,7.62,26518172.3
2022-11-06 00:00:00+00:00,7.621,8.228,7.526,7.942,53584953.8
2022-11-06 12:00:00+00:00,7.942,8.075,7.216,7.304,43368235.3
2022-11-07 00:00:00+00:00,7.303,7.459,6.79,7.112,34045424.8
2022-11-07 12:00:00+00:00,7.111,7.226,6.8,6.998,28860227.9
2022-11-08 00:00:00+00:00,6.998,7.02,6.0,6.182,53183682.7
2022-11-08 12:00:00+00:00,6.182,6.691,4.462,5.368,71993506.8
2022-11-09 00:00:00+00:00,5.368,5.383,4.108,4.593,54269317.9
2022-11-09 12:00:00+00:00,4.593,4.652,3.437,3.9441,68901606.5
2022-11-10 00:00:00+00:00,3.9448,4.454,3.8359,4.1267,38997385.6
2022-11-10 12:00:00+00:00,4.1261,5.483,4.1176,5.1515,61261995.9
2022-11-11 00:00:00+00:00,5.151,5.3449,4.716,5.1304,27317958.2
2022-11-11 12:00:00+00:00,5.1304,5.3059,4.463,5.18,31769593.4
2022-11-12 00:00:00+00:00,5.1793,5.1829,4.463,4.6621,21630653.5
2022-11-12 12:00:00+00:00,4.6626,4.734,4.4254,4.543,11104505.1
