Date,Open,High,Low,Close,Volume
2022-10-19 00:00:00+00:00,7.999,8.595,6.564,7.3,347173539.7
2022-10-20 00:00:00+00:00,7.301,7.74,6.9,7.357,147099164.9
2022-10-21 00:00:00+00:00,7.357,7.68,6.981,7.49,123913199.5
2022-10-22 00:00:00+00:00,7.49,9.28,7.333,8.937,229428158.0
2022-10-23 00:00:00+00:00,8.937,10.2,8.851,9.754,388443586.1
2022-10-24 00:00:00+00:00,9.754,9.962,9.224,9.52,224086175.3
2022-10-25 00:00:00+00:00,9.52,9.555,8.512,8.775,204121343.8
2022-10-26 00:00:00+00:00,8.775,9.28,8.601,9.191,156974817.0
2022-10-27 00:00:00+00:00,9.191,9.63,8.58,8.698,134977354.5
2022-10-28 00:00:00+00:00,8.698,8.826,7.922,8.173,132186233.2
2022-10-29 00:00:00+00:00,8.174,8.367,7.586,7.952,97029881.2
2022-10-30 00:00:00+00:00,7.95,8.384,7.588,7.796,73307527.3
2022-10-31 00:00:00+00:00,7.796,8.219,7.656,7.927,66278031.9
2022-11-01 00:00:00+00:00,7.928,8.318,7.81,8.188,72946418.8
2022-11-02 00:00:00+00:00,8.191,8.206,7.087,7.37,81809434.7
2022-11-03 00:00:00+00:00,7.37,7.559,7.161,7.227,39734281.4
2022-11-04 00:00:00+00:00,7.227,7.785,7.154,7.65,44140453.6
2022-11-05 00:00:00+00:00,7.651,7.999,7.512,7.62,47260279.4
2022-11-06 00:00:00+00:00,7.621,8.228,7.216,7.304,96953189.1
2022-11-07 00:00:00+00:00,7.303,7.459,6.79,6.998,62905652.7
2022-11-08 00:00:00+00:00,6.998,7.02,4.462,5.368,125177189.5
2022-11-09 00:00:00+00:00,5.368,5.383,3.437,3.9441,123170924.4
2022-11-10 00:00:00+00:00,3.9448,5.483,3.8359,5.1515,100259381.5
2022-11-11 00:00:00+00:00,5.151,5.3449,4.463,5.18,59087551.6
2022-11-12 00:00:00+00:00,5.1793,5.1829,4.4254,4.543,32735158.6
2022-11-13 00:00:00+00:00,4.5426,4.615,4.1107,4.2162,36186656.8
2022-11-14 00:00:00+00:00,4.2164,4.5105,3.752,4.1905,48518191.6
2022-11-15 00:00:00+00:00,4.19,4.714,4.1072,4.3344,44740285.3
2022-11-16 00:00:00+00:00,4.3344,4.9666,4.151,4.4966,92938739.1
2022-11-17 00:00:00+00:00,4.4971,4.85,4.3503,4.6575,90241437.1
2022-11-18 00:00:00+00:00,4.6579,4.9269,4.5114,4.716,53395487.1
2022-11-19 00:00:00+00:00,4.7159,4.7699,4.5,4.6212,24752078.8
2022-11-20 00:00:00+00:00,4.6189,4.634,4.0267,4.0982,27528922.1
2022-11-21 00:00:00+00:00,4.0983,4.1475,3.8557,4.0603,36100488.8
2022-11-22 00:00:00+00:00,4.0612,4.521,3.8509,4.3146,38263673.7
2022-11-23 00:00:00+00:00,4.3149,4.597,4.239,4.438,29788386.8
2022-11-24 00:00:00+00:00,4.438,4.7313,4.2221,4.4358,39926594.0
2022-11-25 00:00:00+00:00,4.4355,4.5525,4.2517,4.4247,27920332.2
2022-11-26 00:00:00+00:00,4.4246,5.037,4.4036,4.7656,68705267.9
2022-11-27 00:00:00+00:00,4.7643,5.0277,4.6041,4.7916,36960327.6
2022-11-28 00:00:00+00:00,4.7906,4.7918,4.2939,4.4746,32149916.1
2022-11-29 00:00:00+00:00,4.4735,4.799,4.4101,4.6698,27265331.6
2022-11-30 00:00:00+00:00,4.6693,4.8798,4.535,4.7675,25020703.6
2022-12-01 00:00:00+00:00,4.7675,4.7883,4.572,4.65,16241139.2
2022-12-02 00:00:00+00:00,4.6512,5.0608,4.5038,4.8975,33701145.6
2022-12-03 00:00:00+00:00,4.8976,5.2413,4.8715,5.1106,92549196.0
2022-12-04 00:00:00+00:00,5.1109,5.37,5.0505,5.1789,63522210.0
2022-12-05 00:00:00+00:00,5.1789,5.4279,5.0,5.1577,49667507.4
2022-12-06 00:00:00+00:00,5.1577,5.4199,4.8463,5.0422,35919926.6
2022-12-07 00:00:00+00:00,5.0417,5.0523,4.58,4.8146,29158584.3
2022-12-08 00:00:00+00:00,4.8145,4.9402,4.6813,4.9137,24805113.6
