Date,Open,High,Low,Close,Volume
2022-10-17 00:00:00+00:00,7.999,10.2,6.564,9.754,1236057648.2
2022-10-24 00:00:00+00:00,9.754,9.962,7.586,7.796,1022683332.3
2022-10-31 00:00:00+00:00,7.796,8.318,7.087,7.304,449122088.9
2022-11-07 00:00:00+00:00,7.303,7.459,3.437,4.2162,539522515.1
2022-11-14 00:00:00+00:00,4.2164,4.9666,3.752,4.0982,382115141.1
2022-11-21 00:00:00+00:00,4.0983,5.037,3.8509,4.7916,277665071.0
2022-11-28 00:00:00+00:00,4.7906,5.37,4.2939,5.1789,290449642.1
2022-12-05 00:00:00+00:00,5.1789,5.4279,4.58,4.66,178940943.9
2022-12-12 00:00:00+00:00,4.6599,4.7931,3.9501,4.0483,159173047.5
2022-12-19 00:00:00+00:00,4.0482,4.1394,3.5211,3.5756,142027680.1
2022-12-26 00:00:00+00:00,3.5755,3.67,3.06,3.5185,254211950.8
2023-01-02 00:00:00+00:00,3.5185,4.0284,3.44,3.9317,252845502.7
2023-01-09 00:00:00+00:00,3.9307,8.88,3.8917,7.9277,1641158993.5
2023-01-16 00:00:00+00:00,7.9266,14.5891,7.01,13.3001,1505036575.0
2023-01-23 00:00:00+00:00,13.3,20.44,11.76,18.3404,1264213569.3
2023-01-30 00:00:00+00:00,18.3406,20.39,14.605,15.4306,726790705.6
2023-02-06 00:00:00+00:00,15.4316,16.3617,12.582,13.097,558670882.5
2023-02-13 00:00:00+00:00,13.098,16.7,12.334,14.077,488100931.9
2023-02-20 00:00:00+00:00,14.077,14.398,11.5,12.634,279045984.2
2023-02-27 00:00:00+00:00,12.633,13.721,10.61,11.153,329757078.9
2023-03-06 00:00:00+00:00,11.152,12.092,9.7,11.88,555528653.7
2023-03-13 00:00:00+00:00,11.881,14.644,11.4,13.025,517947491.2
2023-03-20 00:00:00+00:00,13.025,13.335,11.368,11.842,267093068.7
2023-03-27 00:00:00+00:00,11.843,12.55,10.811,12.157,206627393.6
2023-04-03 00:00:00+00:00,12.157,12.16,10.6,11.064,150671642.7
2023-04-10 00:00:00+00:00,11.064,13.63,10.884,12.597,230426016.3
2023-04-17 00:00:00+00:00,12.596,13.175,9.702,10.209,167864504.4
2023-04-24 00:00:00+00:00,10.208,11.0,9.409,10.315,208837460.2
2023-05-01 00:00:00+00:00,10.316,10.348,9.0,9.2,146270102.5
2023-05-08 00:00:00+00:00,9.2,9.263,7.721,8.47,161667998.8
2023-05-15 00:00:00+00:00,8.471,8.999,8.039,8.156,109089810.0
2023-05-22 00:00:00+00:00,8.156,8.727,7.736,8.512,88713560.9
2023-05-29 00:00:00+00:00,8.513,9.42,8.137,9.173,131823239.4
2023-06-05 00:00:00+00:00,9.174,9.243,5.28,6.243,218169957.7
2023-06-12 00:00:00+00:00,6.243,7.258,5.892,6.723,240043304.6
2023-06-19 00:00:00+00:00,6.724,7.987,6.642,7.542,224835624.8
2023-06-26 00:00:00+00:00,7.542,7.733,6.605,7.328,202035209.0
2023-07-03 00:00:00+00:00,7.328,8.33,6.884,7.089,253047923.3
2023-07-10 00:00:00+00:00,7.089,7.996,6.798,7.407,186743326.7
2023-07-17 00:00:00+00:00,7.405,8.195,7.321,7.569,145332665.7
2023-07-24 00:00:00+00:00,7.568,7.591,6.808,7.013,87817462.3
2023-07-31 00:00:00+00:00,7.013,7.1,6.595,6.709,73142850.4
2023-08-07 00:00:00+00:00,6.709,7.963,6.43,7.05,372794475.9
2023-08-14 00:00:00+00:00,7.051,7.14,4.883,6.063,146167667.1
2023-08-21 00:00:00+00:00,6.064,6.132,5.566,5.696,83210847.7
2023-08-28 00:00:00+00:00,5.697,5.977,5.376,5.462,81514837.0
2023-09-04 00:00:00+00:00,5.463,5.67,5.085,5.166,36849379.4
2023-09-11 00:00:00+00:00,5.167,5.361,4.853,5.224,111622050.2
2023-09-18 00:00:00+00:00,5.224,5.397,5.024,5.314,101643928.1
2023-09-25 00:00:00+00:00,5.313,5.819,5.17,5.669,216324910.6
2023-10-02 00:00:00+00:00,5.67,5.758,5.1,5.197,76125916.9
2023-10-09 00:00:00+00:00,5.197,5.221,4.675,4.924,76560129.4
2023-10-16 00:00:00+00:00,4.925,6.266,4.78,6.154,253977018.1
2023-10-23 00:00:00+00:00,6.154,7.017,5.774,6.731,304491705.0
2023-10-30 00:00:00+00:00,6.732,7.444,6.365,6.871,179361948.7
2023-11-06 00:00:00+00:00,6.871,8.479,6.225,7.819,195501753.2
2023-11-13 00:00:00+00:00,7.819,8.288,6.7,7.209,153037173.0
