Date,Open,High,Low,Close,Volume
2020-02-03 00:00:00+00:00,4.574,4.95,4.485,4.76,3185731.8
2020-02-10 00:00:00+00:00,4.76,5.346,4.0,4.384,11975129.12
2020-02-17 00:00:00+00:00,4.386,5.1,3.904,4.808,18872380.2
2020-02-24 00:00:00+00:00,4.808,4.94,3.253,3.348,24971847.06
2020-03-02 00:00:00+00:00,3.344,3.946,3.05,3.086,20067955.3
2020-03-09 00:00:00+00:00,3.086,4.417,1.057,1.915,40470258.97
2020-03-16 00:00:00+00:00,1.917,2.484,1.49,1.918,20985141.19
2020-03-23 00:00:00+00:00,1.917,2.235,1.845,1.849,8663297.97
2020-03-30 00:00:00+00:00,1.848,2.116,1.843,2.067,8761711.74
2020-04-06 00:00:00+00:00,2.066,2.626,2.066,2.298,20915621.66
2020-04-13 00:00:00+00:00,2.296,2.545,2.164,2.381,15798487.18
2020-04-20 00:00:00+00:00,2.38,2.96,2.254,2.811,23734282.96
2020-04-27 00:00:00+00:00,2.811,3.086,2.651,2.776,18356899.36
2020-05-04 00:00:00+00:00,2.778,2.865,2.287,2.508,18199181.59
2020-05-11 00:00:00+00:00,2.508,2.625,2.269,2.544,13059410.04
2020-05-18 00:00:00+00:00,2.543,2.738,2.451,2.494,12821623.89
2020-05-25 00:00:00+00:00,2.494,2.899,2.46,2.729,13612966.2
2020-06-01 00:00:00+00:00,2.727,3.2,2.643,3.024,23407004.85
2020-06-08 00:00:00+00:00,3.024,3.186,2.72,2.757,10710293.78
2020-06-15 00:00:00+00:00,2.757,2.784,2.539,2.604,10435990.85
2020-06-22 00:00:00+00:00,2.603,2.882,2.287,2.504,18733083.75
2020-06-29 00:00:00+00:00,2.506,2.99,2.472,2.936,23017529.9
2020-07-06 00:00:00+00:00,2.938,4.468,2.922,4.027,63268784.0
2020-07-13 00:00:00+00:00,4.031,4.535,3.729,4.21,69584154.42
2020-07-20 00:00:00+00:00,4.211,4.26,3.681,3.82,31404260.72
2020-07-27 00:00:00+00:00,3.822,4.253,3.292,3.916,40735588.31
2020-08-03 00:00:00+00:00,3.916,5.447,3.803,5.282,46412533.88
2020-08-10 00:00:00+00:00,5.282,6.66,4.68,6.249,73911646.19
2020-08-17 00:00:00+00:00,6.249,8.6,5.298,8.517,53837135.47
2020-08-24 00:00:00+00:00,8.513,8.874,6.896,7.643,63923357.74
2020-08-31 00:00:00+00:00,7.638,7.837,4.458,5.179,44827255.64
2020-09-07 00:00:00+00:00,5.177,5.869,4.567,5.321,31881230.91
2020-09-14 00:00:00+00:00,5.325,5.544,4.54,4.663,23916472.41
2020-09-21 00:00:00+00:00,4.663,4.823,3.791,4.728,26395566.53
2020-09-28 00:00:00+00:00,4.728,5.603,4.633,5.317,32405310.81
2020-10-05 00:00:00+00:00,5.315,6.278,4.561,6.075,33778875.72
2020-10-12 00:00:00+00:00,6.075,6.243,5.28,5.767,36024997.95
2020-10-19 00:00:00+00:00,5.764,5.778,4.981,5.297,22703185.67
2020-10-26 00:00:00+00:00,5.296,5.371,4.342,4.742,17815268.33
2020-11-02 00:00:00+00:00,4.744,5.176,4.201,4.807,24890959.0
2020-11-09 00:00:00+00:00,4.806,5.304,4.662,4.974,22804031.29
2020-11-16 00:00:00+00:00,4.974,5.997,4.898,5.49,27611344.12
2020-11-23 00:00:00+00:00,5.491,6.508,4.974,5.431,47996610.81
2020-11-30 00:00:00+00:00,5.432,5.726,4.97,5.215,19287227.23
2020-12-07 00:00:00+00:00,5.214,5.37,4.48,5.194,15551142.61
2020-12-14 00:00:00+00:00,5.193,5.745,4.9,5.036,20169569.23
2020-12-21 00:00:00+00:00,5.034,5.159,4.214,4.848,24269136.54
2020-12-28 00:00:00+00:00,4.847,6.525,4.795,5.843,46505875.93
2021-01-04 00:00:00+00:00,5.843,7.174,5.25,6.421,58045952.37
2021-01-11 00:00:00+00:00,6.417,9.64,5.002,8.555,83552282.66
2021-01-18 00:00:00+00:00,8.552,10.219,6.6,8.254,52321160.7
2021-01-25 00:00:00+00:00,8.25,8.92,6.772,8.147,37465970.01
