Date,Open,High,Low,Close,Volume
2020-01-01 00:00:00+00:00,204.72,208.95,202.95,204.44,235950.127
2020-01-02 00:00:00+00:00,204.45,205.54,192.08,195.73,307659.505
2020-01-03 00:00:00+00:00,195.6,226.2,192.05,222.31,560968.042
2020-01-04 00:00:00+00:00,222.31,227.19,219.3,224.37,478534.844
2020-01-05 00:00:00+00:00,224.24,227.6,220.51,222.68,460171.541
2020-01-06 00:00:00+00:00,222.73,248.08,222.0,244.1,606014.515
2020-01-07 00:00:00+00:00,244.12,246.97,231.93,242.32,610964.456
2020-01-08 00:00:00+00:00,242.36,257.71,230.0,240.17,611483.117
2020-01-09 00:00:00+00:00,240.17,244.0,231.1,238.03,391595.059
2020-01-10 00:00:00+00:00,238.08,274.93,231.3,271.71,742149.591
2020-01-11 00:00:00+00:00,271.76,279.5,258.7,260.84,528805.671
2020-01-12 00:00:00+00:00,260.71,270.9,258.0,270.77,281476.573
2020-01-13 00:00:00+00:00,270.83,273.0,260.76,267.0,186010.49
2020-01-14 00:00:00+00:00,267.09,370.0,267.09,348.76,1266958.607
2020-01-15 00:00:00+00:00,348.55,362.76,312.5,340.3,970851.111
2020-01-16 00:00:00+00:00,340.36,343.44,310.2,326.77,565649.502
2020-01-17 00:00:00+00:00,326.77,384.17,320.0,368.2,696514.18
2020-01-18 00:00:00+00:00,368.18,408.37,330.46,339.63,761635.3
2020-01-19 00:00:00+00:00,339.65,366.59,320.15,339.62,475794.155
2020-01-20 00:00:00+00:00,339.79,353.14,322.97,343.88,252874.107
2020-01-21 00:00:00+00:00,343.88,348.02,332.41,343.48,169198.735
2020-01-22 00:00:00+00:00,343.54,355.66,339.5,349.12,152726.096
2020-01-23 00:00:00+00:00,349.42,350.45,316.64,325.55,274632.367
2020-01-24 00:00:00+00:00,325.58,329.0,298.63,319.2,455228.488
2020-01-25 00:00:00+00:00,319.25,319.86,305.0,310.49,230327.872
2020-01-26 00:00:00+00:00,310.35,349.4,308.0,347.89,369421.713
2020-01-27 00:00:00+00:00,347.91,377.87,347.79,362.79,550555.005
2020-01-28 00:00:00+00:00,362.9,385.84,360.8,378.82,421887.574
2020-01-29 00:00:00+00:00,378.82,396.33,375.96,380.4,364107.695
2020-01-30 00:00:00+00:00,380.54,400.36,372.0,392.81,402649.383
2020-01-31 00:00:00+00:00,392.85,395.8,365.09,375.22,331651.593
2020-02-01 00:00:00+00:00,375.35,390.0,372.89,380.63,279493.713
2020-02-02 00:00:00+00:00,380.62,387.93,369.7,377.72,282770.45
2020-02-03 00:00:00+00:00,377.83,393.0,374.97,384.42,270961.085
2020-02-04 00:00:00+00:00,384.43,389.75,373.2,381.04,254456.491
