Date,Open,High,Low,Close,Volume
2020-09-14 00:00:00+00:00,13.294,15.213,10.038,10.7,2305689.5
2020-09-21 00:00:00+00:00,10.709,10.937,8.241,10.033,2879080.0
2020-09-28 00:00:00+00:00,10.038,10.966,8.86,9.034,2235925.0
2020-10-05 00:00:00+00:00,9.037,9.119,6.453,8.185,3628044.9
2020-10-12 00:00:00+00:00,8.187,8.236,7.183,7.59,1998941.1
2020-10-19 00:00:00+00:00,7.579,9.646,6.483,9.255,6147110.7
2020-10-26 00:00:00+00:00,9.251,9.531,7.07,7.687,4232444.8
2020-11-02 00:00:00+00:00,7.687,8.621,6.973,8.347,4325007.0
2020-11-09 00:00:00+00:00,8.35,8.839,7.305,7.597,3383511.0
2020-11-16 00:00:00+00:00,7.589,8.536,7.103,8.052,5071886.8
2020-11-23 00:00:00+00:00,8.051,10.374,7.953,8.949,8842485.0
2020-11-30 00:00:00+00:00,8.952,14.5,8.707,13.718,15554818.4
2020-12-07 00:00:00+00:00,13.727,17.16,12.241,16.93,11553388.2
2020-12-14 00:00:00+00:00,16.93,27.848,16.53,25.592,33413891.2
2020-12-21 00:00:00+00:00,25.621,29.855,20.434,21.884,13758722.9
2020-12-28 00:00:00+00:00,21.899,28.25,21.531,27.395,7317100.7
2021-01-04 00:00:00+00:00,27.399,42.14,25.983,36.342,9924355.6
2021-01-11 00:00:00+00:00,36.339,39.39,26.748,37.549,6085679.5
2021-01-18 00:00:00+00:00,37.571,41.882,35.0,41.249,4166042.0
2021-01-25 00:00:00+00:00,41.3,74.396,40.443,63.455,8369473.4
2021-02-01 00:00:00+00:00,63.522,143.541,58.3,140.0,6911183.9
2021-02-08 00:00:00+00:00,139.969,220.0,130.0,154.485,9426119.9
2021-02-15 00:00:00+00:00,154.485,170.0,94.99,140.731,7652631.6
2021-02-22 00:00:00+00:00,140.732,154.134,88.246,130.845,6271773.9
2021-03-01 00:00:00+00:00,130.874,160.0,127.189,146.144,3469578.8
2021-03-08 00:00:00+00:00,146.285,166.102,126.891,131.713,2802613.2
2021-03-15 00:00:00+00:00,131.75,149.2,124.567,138.491,2303070.8
2021-03-22 00:00:00+00:00,138.504,153.666,115.72,141.888,3181353.1
2021-03-29 00:00:00+00:00,141.936,187.639,130.305,168.408,3727176.5
2021-04-05 00:00:00+00:00,168.472,243.5,159.287,237.214,4899700.0
2021-04-12 00:00:00+00:00,237.214,247.013,112.033,190.052,6050567.0
2021-04-19 00:00:00+00:00,190.023,195.791,136.557,149.298,3905801.7
2021-04-26 00:00:00+00:00,149.229,188.0,147.743,180.888,1681126.7
2021-05-03 00:00:00+00:00,180.922,205.973,174.6,188.15,1969980.7
2021-05-10 00:00:00+00:00,188.123,191.793,143.381,154.817,2150572.1
2021-05-17 00:00:00+00:00,154.705,154.865,64.548,85.21,7360317.9
2021-05-24 00:00:00+00:00,85.276,121.84,82.358,92.788,2742306.1
2021-05-31 00:00:00+00:00,92.754,111.2,89.907,97.19,1641065.9
2021-06-07 00:00:00+00:00,97.31,106.45,75.87,87.16,1680338.5
2021-06-14 00:00:00+00:00,87.14,93.74,76.26,80.12,1495388.9
2021-06-21 00:00:00+00:00,80.15,80.87,53.37,65.76,2615431.6
2021-06-28 00:00:00+00:00,65.74,96.5,64.44,93.47,3598532.4
2021-07-05 00:00:00+00:00,93.46,107.55,84.68,89.15,3215373.7
2021-07-12 00:00:00+00:00,89.18,90.9,72.09,74.4,2387645.4
