Date,Open,High,Low,Close,Volume
2020-01-08 00:00:00+00:00,2.884,2.914,2.884,2.894,1034662.3
2020-01-08 12:00:00+00:00,2.894,2.903,2.685,2.778,3390413.4
2020-01-09 00:00:00+00:00,2.777,2.799,2.727,2.731,2785907.8
2020-01-09 12:00:00+00:00,2.732,2.768,2.695,2.745,2593085.5
2020-01-10 00:00:00+00:00,2.741,2.761,2.65,2.755,2730140.2
2020-01-10 12:00:00+00:00,2.753,3.006,2.746,2.983,4524941.7
2020-01-11 00:00:00+00:00,2.988,3.051,2.941,2.982,3230087.1
2020-01-11 12:00:00+00:00,2.982,3.128,2.968,2.992,3767479.1
2020-01-12 00:00:00+00:00,2.992,3.087,2.932,3.038,2950416.4
2020-01-12 12:00:00+00:00,3.038,3.214,3.038,3.207,8313011.6
2020-01-13 00:00:00+00:00,3.206,3.209,3.064,3.12,6489092.6
2020-01-13 12:00:00+00:00,3.119,3.148,3.068,3.105,4806658.1
2020-01-14 00:00:00+00:00,3.105,3.331,3.105,3.295,6035347.3
2020-01-14 12:00:00+00:00,3.298,4.093,3.274,3.816,17635022.1
2020-01-15 00:00:00+00:00,3.811,3.955,3.569,3.765,8433470.6
2020-01-15 12:00:00+00:00,3.762,3.912,3.6,3.768,6755733.3
2020-01-16 00:00:00+00:00,3.769,3.802,3.521,3.673,4692580.8
2020-01-16 12:00:00+00:00,3.672,3.96,3.608,3.838,7063005.9
2020-01-17 00:00:00+00:00,3.839,4.066,3.762,3.943,7095915.7
2020-01-17 12:00:00+00:00,3.943,4.088,3.744,3.904,6904636.4
2020-01-18 00:00:00+00:00,3.907,4.013,3.703,3.831,4087102.9
2020-01-18 12:00:00+00:00,3.832,3.983,3.75,3.808,5439386.1
2020-01-19 00:00:00+00:00,3.912,3.923,3.872,3.879,129220.8
2020-01-19 12:00:00+00:00,3.62,3.639,3.426,3.613,4489529.7
2020-01-20 00:00:00+00:00,3.613,3.636,3.508,3.529,2318190.2
2020-01-20 12:00:00+00:00,3.532,3.707,3.487,3.621,3237782.5
2020-01-21 00:00:00+00:00,3.623,3.695,3.596,3.654,1934292.9
2020-01-21 12:00:00+00:00,3.654,3.674,3.553,3.654,1956691.8
2020-01-22 00:00:00+00:00,3.656,3.75,3.587,3.655,2341346.7
2020-01-22 12:00:00+00:00,3.653,3.697,3.619,3.655,1459607.4
2020-01-23 00:00:00+00:00,3.655,3.659,3.534,3.547,1963165.6
2020-01-23 12:00:00+00:00,3.546,3.597,3.489,3.572,3248761.2
2020-01-24 00:00:00+00:00,3.573,3.584,3.353,3.505,3141984.9
2020-01-24 12:00:00+00:00,3.508,3.707,3.494,3.635,3162853.4
2020-01-25 00:00:00+00:00,3.638,3.638,3.489,3.547,1889597.0
2020-01-25 12:00:00+00:00,3.549,3.594,3.496,3.501,1343398.0
2020-01-26 00:00:00+00:00,3.501,3.613,3.43,3.598,2548522.2
2020-01-26 12:00:00+00:00,3.598,3.67,3.564,3.649,2416831.7
2020-01-27 00:00:00+00:00,3.651,3.908,3.645,3.873,3484997.5
2020-01-27 12:00:00+00:00,3.874,4.065,3.866,3.965,5146568.3
2020-01-28 00:00:00+00:00,3.967,4.138,3.966,4.027,4013120.4
2020-01-28 12:00:00+00:00,4.026,4.09,3.88,4.045,4394309.7
2020-01-29 00:00:00+00:00,4.042,4.126,3.976,4.049,4348049.3
2020-01-29 12:00:00+00:00,4.049,4.075,3.961,3.969,2509475.2
2020-01-30 00:00:00+00:00,3.973,4.212,3.893,4.18,5147921.8
2020-01-30 12:00:00+00:00,4.18,4.414,4.146,4.328,6068836.9
2020-01-31 00:00:00+00:00,4.332,4.378,4.171,4.187,4229474.2
2020-01-31 12:00:00+00:00,4.187,4.189,4.03,4.151,4044646.9
2020-02-01 00:00:00+00:00,4.149,4.274,4.07,4.098,3833066.6
2020-02-01 12:00:00+00:00,4.095,4.203,4.093,4.157,2798679.4
2020-02-02 00:00:00+00:00,4.157,4.303,4.049,4.286,3597915.6
2020-02-02 12:00:00+00:00,4.283,4.338,4.192,4.217,3369154.3
2020-02-03 00:00:00+00:00,4.217,4.381,4.188,4.261,3531456.9
2020-02-03 12:00:00+00:00,4.261,4.277,4.14,4.203,2150935.8
2020-02-04 00:00:00+00:00,4.208,4.262,4.064,4.11,2386076.0
2020-02-04 12:00:00+00:00,4.11,4.277,4.073,4.231,2477354.6
2020-02-05 00:00:00+00:00,4.234,4.512,4.175,4.481,5136035.5
2020-02-05 12:00:00+00:00,4.48,4.599,4.423,4.535,6730323.2
2020-02-06 00:00:00+00:00,4.535,4.644,4.465,4.612,4772097.5
2020-02-06 12:00:00+00:00,4.612,4.688,4.407,4.609,7055500.9
2020-02-07 00:00:00+00:00,4.607,4.714,4.556,4.58,5728446.6
2020-02-07 12:00:00+00:00,4.581,4.645,4.521,4.598,3338323.8
2020-02-08 00:00:00+00:00,4.593,4.82,4.434,4.78,6031273.0
