Date,Open,High,Low,Close,Volume
2020-01-06 00:00:00+00:00,2.884,3.214,2.65,3.207,35320145.1
2020-01-13 00:00:00+00:00,3.206,4.093,3.064,3.613,96196073.5
2020-01-20 00:00:00+00:00,3.613,3.75,3.353,3.649,32963025.5
2020-01-27 00:00:00+00:00,3.651,4.414,3.645,4.217,56986216.1
2020-02-03 00:00:00+00:00,4.217,5.049,4.064,5.02,64838201.9
2020-02-10 00:00:00+00:00,5.019,5.517,4.025,4.384,102008896.2
2020-02-17 00:00:00+00:00,4.385,4.657,3.586,4.385,116114272.7
2020-02-24 00:00:00+00:00,4.384,4.408,3.322,3.513,185565556.9
2020-03-02 00:00:00+00:00,3.513,3.862,2.971,3.044,106813372.4
2020-03-09 00:00:00+00:00,3.045,3.169,1.351,2.047,255373478.3
2020-03-16 00:00:00+00:00,2.047,2.524,1.702,2.137,116845523.3
2020-03-23 00:00:00+00:00,2.137,2.379,2.061,2.115,52302029.2
2020-03-30 00:00:00+00:00,2.115,2.503,2.107,2.35,41500880.1
2020-04-06 00:00:00+00:00,2.351,2.829,2.35,2.498,63868645.3
2020-04-13 00:00:00+00:00,2.498,2.766,2.322,2.599,72149743.9
2020-04-20 00:00:00+00:00,2.597,2.81,2.43,2.737,82267391.3
2020-04-27 00:00:00+00:00,2.739,3.123,2.68,2.838,106879576.1
2020-05-04 00:00:00+00:00,2.838,2.848,2.238,2.443,107030619.7
2020-05-11 00:00:00+00:00,2.443,2.684,2.261,2.618,77612824.9
2020-05-18 00:00:00+00:00,2.618,2.75,2.404,2.487,75482965.0
2020-05-25 00:00:00+00:00,2.486,2.784,1.96,2.674,67274961.6
2020-06-01 00:00:00+00:00,2.673,2.9,2.394,2.809,113945636.9
2020-06-08 00:00:00+00:00,2.809,2.819,2.424,2.568,81290812.2
2020-06-15 00:00:00+00:00,2.568,2.607,2.42,2.515,64602883.8
2020-06-22 00:00:00+00:00,2.515,2.605,2.19,2.366,66118593.0
2020-06-29 00:00:00+00:00,2.367,2.505,2.299,2.407,66828765.8
2020-07-06 00:00:00+00:00,2.408,2.728,2.4,2.62,99093699.1
2020-07-13 00:00:00+00:00,2.62,2.651,2.428,2.586,65462257.9
2020-07-20 00:00:00+00:00,2.586,2.814,2.533,2.716,101463545.9
2020-07-27 00:00:00+00:00,2.715,3.504,2.51,2.947,277464519.3
2020-08-03 00:00:00+00:00,2.948,3.257,2.755,3.031,167747879.0
2020-08-10 00:00:00+00:00,3.031,3.956,2.867,3.885,329343358.5
2020-08-17 00:00:00+00:00,3.885,3.928,3.168,3.324,257575176.1
2020-08-24 00:00:00+00:00,3.325,3.427,2.851,3.265,157219963.3
2020-08-31 00:00:00+00:00,3.266,3.56,2.477,2.902,326059157.8
2020-09-07 00:00:00+00:00,2.903,2.941,2.655,2.727,111771611.0
