Date,Open,High,Low,Close,Volume
2022-08-17 00:00:00+00:00,2.025,2.199,1.862,1.915,24360907.9
2022-08-18 00:00:00+00:00,1.911,1.963,1.738,1.78,7657218.3
2022-08-19 00:00:00+00:00,1.778,1.78,1.552,1.673,11067216.2
2022-08-20 00:00:00+00:00,1.671,1.746,1.54,1.603,9727682.7
2022-08-21 00:00:00+00:00,1.602,1.865,1.592,1.841,25580864.1
2022-08-22 00:00:00+00:00,1.84,1.844,1.643,1.76,25247608.0
2022-08-23 00:00:00+00:00,1.761,1.886,1.745,1.816,11592241.1
2022-08-24 00:00:00+00:00,1.816,1.88,1.749,1.76,6345103.3
2022-08-25 00:00:00+00:00,1.76,1.851,1.759,1.772,3846292.7
2022-08-26 00:00:00+00:00,1.771,1.825,1.572,1.59,4077037.4
2022-08-27 00:00:00+00:00,1.59,1.625,1.546,1.566,2357727.2
2022-08-28 00:00:00+00:00,1.566,1.62,1.482,1.5,2126390.9
2022-08-29 00:00:00+00:00,1.5,1.614,1.474,1.613,3828163.6
2022-08-30 00:00:00+00:00,1.612,1.638,1.492,1.52,11663984.0
2022-08-31 00:00:00+00:00,1.52,1.598,1.52,1.555,2281185.1
2022-09-01 00:00:00+00:00,1.554,1.575,1.46,1.524,2167506.5
2022-09-02 00:00:00+00:00,1.524,1.58,1.491,1.534,2782011.7
2022-09-03 00:00:00+00:00,1.534,1.558,1.511,1.526,1280599.1
2022-09-04 00:00:00+00:00,1.526,1.625,1.515,1.599,6328393.2
2022-09-05 00:00:00+00:00,1.599,1.627,1.524,1.606,10769275.7
2022-09-06 00:00:00+00:00,1.604,1.652,1.44,1.452,9155171.8
2022-09-07 00:00:00+00:00,1.452,1.58,1.425,1.552,7062072.3
2022-09-08 00:00:00+00:00,1.552,1.602,1.485,1.531,6667005.0
2022-09-09 00:00:00+00:00,1.531,1.735,1.524,1.681,9100451.1
2022-09-10 00:00:00+00:00,1.681,1.737,1.602,1.635,6758413.4
2022-09-11 00:00:00+00:00,1.633,2.022,1.614,1.874,63546889.4
2022-09-12 00:00:00+00:00,1.872,1.937,1.755,1.808,43994464.7
2022-09-13 00:00:00+00:00,1.808,2.058,1.637,1.65,48895967.8
2022-09-14 00:00:00+00:00,1.65,1.751,1.605,1.649,11378335.5
2022-09-15 00:00:00+00:00,1.648,1.664,1.543,1.627,10167693.5
2022-09-16 00:00:00+00:00,1.627,1.684,1.581,1.675,9356554.8
2022-09-17 00:00:00+00:00,1.675,1.715,1.639,1.694,5615704.7
2022-09-18 00:00:00+00:00,1.694,1.694,1.413,1.448,8030579.1
2022-09-19 00:00:00+00:00,1.446,1.627,1.417,1.572,17101206.1
2022-09-20 00:00:00+00:00,1.57,1.632,1.504,1.527,25986125.4
2022-09-21 00:00:00+00:00,1.526,1.595,1.439,1.461,13593151.9
2022-09-22 00:00:00+00:00,1.46,1.548,1.457,1.529,5105658.6
2022-09-23 00:00:00+00:00,1.528,1.656,1.461,1.575,7524628.0
2022-09-24 00:00:00+00:00,1.576,1.683,1.536,1.644,30523802.8
2022-09-25 00:00:00+00:00,1.644,1.935,1.605,1.799,79313060.7
2022-09-26 00:00:00+00:00,1.798,1.902,1.681,1.78,76930341.8
2022-09-27 00:00:00+00:00,1.78,1.85,1.705,1.736,25921525.8
2022-09-28 00:00:00+00:00,1.736,1.753,1.62,1.706,21360302.0
2022-09-29 00:00:00+00:00,1.705,1.72,1.633,1.684,10627822.2
2022-09-30 00:00:00+00:00,1.684,1.752,1.623,1.701,14384071.8
2022-10-01 00:00:00+00:00,1.701,1.722,1.639,1.652,6373425.9
2022-10-02 00:00:00+00:00,1.653,1.681,1.539,1.562,6108683.1
2022-10-03 00:00:00+00:00,1.562,1.745,1.546,1.705,13423297.0
2022-10-04 00:00:00+00:00,1.705,1.877,1.688,1.794,49656768.4
2022-10-05 00:00:00+00:00,1.794,1.977,1.752,1.916,47457543.2
2022-10-06 00:00:00+00:00,1.917,1.925,1.822,1.833,26945758.6
2022-10-07 00:00:00+00:00,1.833,2.025,1.823,1.988,43243831.8
2022-10-08 00:00:00+00:00,1.987,2.031,1.95,1.989,51169957.7
2022-10-09 00:00:00+00:00,1.988,2.009,1.881,1.914,27187722.3
2022-10-10 00:00:00+00:00,1.913,1.954,1.752,1.753,20938660.0
2022-10-11 00:00:00+00:00,1.754,1.909,1.696,1.827,25508616.1
2022-10-12 00:00:00+00:00,1.827,1.843,1.757,1.786,11013497.0
2022-10-13 00:00:00+00:00,1.786,1.788,1.563,1.743,25834988.8
2022-10-14 00:00:00+00:00,1.743,1.894,1.718,1.762,24065288.6
2022-10-15 00:00:00+00:00,1.761,1.786,1.71,1.756,13457818.6
2022-10-16 00:00:00+00:00,1.755,1.959,1.751,1.902,38004732.0
2022-10-17 00:00:00+00:00,1.902,2.2,1.882,2.107,178588356.6
2022-10-18 00:00:00+00:00,2.106,2.179,2.03,2.089,60891205.7
2022-10-19 00:00:00+00:00,2.088,2.089,1.957,1.976,33103799.9
2022-10-20 00:00:00+00:00,1.976,2.039,1.816,1.852,38175125.7
2022-10-21 00:00:00+00:00,1.852,1.894,1.761,1.855,34101741.6
2022-10-22 00:00:00+00:00,1.855,1.968,1.822,1.912,29976409.0
2022-10-23 00:00:00+00:00,1.912,1.981,1.892,1.935,30800873.6
2022-10-24 00:00:00+00:00,1.934,1.936,1.849,1.894,21649457.3
2022-10-25 00:00:00+00:00,1.894,2.03,1.885,1.953,27545952.2
2022-10-26 00:00:00+00:00,1.954,2.173,1.918,2.059,37833037.5
2022-10-27 00:00:00+00:00,2.059,2.211,1.988,2.018,43836947.3
2022-10-28 00:00:00+00:00,2.019,2.079,1.9,2.045,25620927.6
2022-10-29 00:00:00+00:00,2.046,2.386,2.034,2.289,60000112.7
2022-10-30 00:00:00+00:00,2.289,2.433,2.132,2.192,36406532.7
2022-10-31 00:00:00+00:00,2.192,2.698,2.144,2.432,112326982.8
2022-11-01 00:00:00+00:00,2.431,2.573,2.273,2.502,66062466.4
2022-11-02 00:00:00+00:00,2.502,2.681,2.306,2.521,80490304.0
2022-11-03 00:00:00+00:00,2.521,3.045,2.473,2.629,68612706.1
2022-11-04 00:00:00+00:00,2.629,2.923,2.61,2.71,32855047.1
2022-11-05 00:00:00+00:00,2.711,2.997,2.633,2.683,33837527.5
2022-11-06 00:00:00+00:00,2.684,2.882,2.564,2.587,33500708.2
2022-11-07 00:00:00+00:00,2.587,2.804,2.415,2.677,39960345.5
2022-11-08 00:00:00+00:00,2.678,2.76,1.558,1.975,70323224.9
2022-11-09 00:00:00+00:00,1.975,2.0,1.344,1.455,45612305.1
2022-11-10 00:00:00+00:00,1.455,1.889,1.429,1.795,33047738.8
2022-11-11 00:00:00+00:00,1.796,1.876,1.61,1.753,19350417.3
2022-11-12 00:00:00+00:00,1.754,1.867,1.646,1.72,21246867.0
2022-11-13 00:00:00+00:00,1.72,1.957,1.697,1.812,27203293.5
2022-11-14 00:00:00+00:00,1.812,1.832,1.617,1.761,19294754.5
2022-11-15 00:00:00+00:00,1.76,1.948,1.711,1.795,12717159.6
2022-11-16 00:00:00+00:00,1.796,1.887,1.705,1.744,12164011.7
2022-11-17 00:00:00+00:00,1.743,1.761,1.68,1.714,8292866.4
