Date,Open,High,Low,Close,Volume
2022-08-15 00:00:00+00:00,2.025,2.199,1.54,1.841,78393889.2
2022-08-22 00:00:00+00:00,1.84,1.886,1.482,1.5,55592400.6
2022-08-29 00:00:00+00:00,1.5,1.638,1.46,1.599,30331843.2
2022-09-05 00:00:00+00:00,1.599,2.022,1.425,1.874,113059278.7
2022-09-12 00:00:00+00:00,1.872,2.058,1.413,1.448,137439300.1
2022-09-19 00:00:00+00:00,1.446,1.935,1.417,1.799,179147633.5
2022-09-26 00:00:00+00:00,1.798,1.902,1.539,1.562,161706172.6
2022-10-03 00:00:00+00:00,1.562,2.031,1.546,1.914,259084879.0
2022-10-10 00:00:00+00:00,1.913,1.959,1.563,1.902,158823601.1
2022-10-17 00:00:00+00:00,1.902,2.2,1.761,1.935,405637512.1
2022-10-24 00:00:00+00:00,1.934,2.433,1.849,2.192,252892967.3
2022-10-31 00:00:00+00:00,2.192,3.045,2.144,2.587,427685742.1
2022-11-07 00:00:00+00:00,2.587,2.804,1.344,1.812,256744192.1
2022-11-14 00:00:00+00:00,1.812,1.948,1.566,1.571,71377000.0
2022-11-21 00:00:00+00:00,1.571,1.859,1.458,1.577,84868774.9
2022-11-28 00:00:00+00:00,1.576,1.82,1.481,1.63,117121704.8
2022-12-05 00:00:00+00:00,1.629,1.691,1.553,1.618,43136869.2
2022-12-12 00:00:00+00:00,1.618,1.704,1.377,1.409,51893478.4
2022-12-19 00:00:00+00:00,1.409,1.432,1.287,1.311,26000907.5
2022-12-26 00:00:00+00:00,1.312,1.328,1.219,1.272,32467019.0
2023-01-02 00:00:00+00:00,1.272,1.422,1.249,1.415,26746625.0
2023-01-09 00:00:00+00:00,1.416,1.752,1.377,1.655,71881844.4
2023-01-16 00:00:00+00:00,1.655,2.1,1.457,1.941,145280046.6
2023-01-23 00:00:00+00:00,1.941,2.791,1.768,2.527,340384053.4
2023-01-30 00:00:00+00:00,2.527,4.238,2.478,3.606,435079750.7
2023-02-06 00:00:00+00:00,3.605,4.388,3.005,3.345,171173343.7
2023-02-13 00:00:00+00:00,3.346,4.58,3.024,4.161,178902340.8
2023-02-20 00:00:00+00:00,4.161,4.422,3.279,3.774,103254336.7
2023-02-27 00:00:00+00:00,3.773,3.884,3.101,3.343,78036794.5
2023-03-06 00:00:00+00:00,3.343,3.798,2.446,3.701,228368015.1
2023-03-13 00:00:00+00:00,3.701,4.998,3.568,4.278,200107294.3
2023-03-20 00:00:00+00:00,4.278,4.498,3.78,4.057,131696389.0
2023-03-27 00:00:00+00:00,4.057,5.386,3.629,5.157,243562415.6
2023-04-03 00:00:00+00:00,5.156,6.0,4.864,5.689,241762817.3
2023-04-10 00:00:00+00:00,5.688,9.681,5.574,9.298,437027452.7
2023-04-17 00:00:00+00:00,9.298,9.999,6.8,6.878,358130059.5
2023-04-24 00:00:00+00:00,6.878,9.33,6.427,7.762,565528045.2
2023-05-01 00:00:00+00:00,7.762,8.134,7.074,7.295,286806934.4
2023-05-08 00:00:00+00:00,7.295,7.366,5.573,6.078,249361212.3
2023-05-15 00:00:00+00:00,6.078,7.5,5.951,6.731,252605347.4
2023-05-22 00:00:00+00:00,6.731,7.445,6.064,7.086,172379214.1
2023-05-29 00:00:00+00:00,7.086,8.195,6.921,7.799,226243370.7
2023-06-05 00:00:00+00:00,7.799,7.846,5.398,5.718,220924914.7
2023-06-12 00:00:00+00:00,5.717,6.616,5.449,5.971,218700395.0
2023-06-19 00:00:00+00:00,5.971,7.47,5.868,6.958,188600948.9
2023-06-26 00:00:00+00:00,6.959,8.997,6.763,8.722,215995707.4
2023-07-03 00:00:00+00:00,8.722,8.987,7.764,8.205,133647794.5
2023-07-10 00:00:00+00:00,8.205,9.962,7.765,8.862,175349042.4
2023-07-17 00:00:00+00:00,8.862,9.732,8.5,8.697,116250071.7
2023-07-24 00:00:00+00:00,8.696,8.754,7.569,7.89,74625816.1
2023-07-31 00:00:00+00:00,7.89,8.26,7.509,7.891,77192783.8
2023-08-07 00:00:00+00:00,7.892,8.244,7.537,7.683,50081844.6
2023-08-14 00:00:00+00:00,7.683,8.185,6.205,7.72,143346539.6
2023-08-21 00:00:00+00:00,7.72,7.887,6.862,6.942,74261192.4
2023-08-28 00:00:00+00:00,6.942,7.6,6.626,6.813,69206579.6
2023-09-04 00:00:00+00:00,6.812,7.056,6.275,6.637,18680434.7
2023-09-11 00:00:00+00:00,6.637,7.456,6.357,7.022,46869090.1
2023-09-18 00:00:00+00:00,7.023,7.583,6.85,6.906,34869840.0
2023-09-25 00:00:00+00:00,6.905,8.05,6.815,7.948,35103726.8
2023-10-02 00:00:00+00:00,7.948,8.048,7.185,7.73,38571641.4
2023-10-09 00:00:00+00:00,7.729,7.813,7.149,7.804,34645053.7
2023-10-16 00:00:00+00:00,7.804,9.273,7.56,9.223,76082594.8
2023-10-23 00:00:00+00:00,9.222,14.283,9.115,13.911,168893739.8
2023-10-30 00:00:00+00:00,13.911,16.442,12.81,16.099,95356434.9
2023-11-06 00:00:00+00:00,16.098,19.2,14.21,17.297,100141053.6
2023-11-13 00:00:00+00:00,17.298,18.7,14.288,16.74,65858062.8
