Date,Open,High,Low,Close,Volume
2022-09-22 12:00:00+00:00,1.802,1.979,1.724,1.794,3895754.0
2022-09-23 00:00:00+00:00,1.794,1.838,1.708,1.72,2991928.0
2022-09-23 12:00:00+00:00,1.72,1.783,1.692,1.752,2982316.0
2022-09-24 00:00:00+00:00,1.755,1.77,1.7,1.721,1378999.0
2022-09-24 12:00:00+00:00,1.718,1.742,1.66,1.68,1810935.0
2022-09-25 00:00:00+00:00,1.68,1.728,1.666,1.707,1268730.0
2022-09-25 12:00:00+00:00,1.708,1.723,1.559,1.573,2639581.0
2022-09-26 00:00:00+00:00,1.572,1.618,1.532,1.57,3497526.0
2022-09-26 12:00:00+00:00,1.57,1.654,1.563,1.624,1871061.0
2022-09-27 00:00:00+00:00,1.623,1.729,1.618,1.708,3423260.0
2022-09-27 12:00:00+00:00,1.708,1.728,1.559,1.597,3309225.0
2022-09-28 00:00:00+00:00,1.597,1.627,1.515,1.563,2581191.0
2022-09-28 12:00:00+00:00,1.563,1.66,1.56,1.615,2178739.0
2022-09-29 00:00:00+00:00,1.615,1.648,1.583,1.609,2130627.0
2022-09-29 12:00:00+00:00,1.608,1.61,1.55,1.605,2075396.0
2022-09-30 00:00:00+00:00,1.605,1.63,1.577,1.586,1722975.0
2022-09-30 12:00:00+00:00,1.587,1.648,1.554,1.577,2433968.0
2022-10-01 00:00:00+00:00,1.577,1.58,1.546,1.568,1436490.0
2022-10-01 12:00:00+00:00,1.567,1.579,1.491,1.507,1873962.0
2022-10-02 00:00:00+00:00,1.507,1.523,1.457,1.485,2094190.0
2022-10-02 12:00:00+00:00,1.485,1.503,1.425,1.432,2286057.0
2022-10-03 00:00:00+00:00,1.432,1.471,1.41,1.46,1915036.0
2022-10-03 12:00:00+00:00,1.46,1.553,1.451,1.525,4402866.0
2022-10-04 00:00:00+00:00,1.525,1.609,1.51,1.6,7969602.0
2022-10-04 12:00:00+00:00,1.6,1.625,1.555,1.577,7696332.0
2022-10-05 00:00:00+00:00,1.577,1.578,1.511,1.514,5551973.0
2022-10-05 12:00:00+00:00,1.514,1.533,1.487,1.527,5106856.0
2022-10-06 00:00:00+00:00,1.527,1.578,1.524,1.56,5407647.0
2022-10-06 12:00:00+00:00,1.559,1.567,1.47,1.499,3904520.0
2022-10-07 00:00:00+00:00,1.499,1.507,1.47,1.499,2171255.0
2022-10-07 12:00:00+00:00,1.498,1.499,1.453,1.475,2691822.0
2022-10-08 00:00:00+00:00,1.476,1.497,1.467,1.487,1382376.0
2022-10-08 12:00:00+00:00,1.487,1.488,1.46,1.474,1175792.0
2022-10-09 00:00:00+00:00,1.474,1.478,1.439,1.464,1299650.0
2022-10-09 12:00:00+00:00,1.465,1.485,1.441,1.456,1512550.0
2022-10-10 00:00:00+00:00,1.456,1.469,1.378,1.397,3711347.0
2022-10-10 12:00:00+00:00,1.397,1.402,1.305,1.309,7867979.0
2022-10-11 00:00:00+00:00,1.308,1.326,1.254,1.319,5151587.0
2022-10-11 12:00:00+00:00,1.319,1.362,1.31,1.32,4152317.0
2022-10-12 00:00:00+00:00,1.32,1.332,1.293,1.318,3493440.0
2022-10-12 12:00:00+00:00,1.318,1.319,1.257,1.268,4261104.0
2022-10-13 00:00:00+00:00,1.267,1.271,1.11,1.154,10874528.0
2022-10-13 12:00:00+00:00,1.154,1.27,1.12,1.262,10988194.0
2022-10-14 00:00:00+00:00,1.262,1.382,1.256,1.345,17925498.0
2022-10-14 12:00:00+00:00,1.345,1.367,1.272,1.289,14692474.0
2022-10-15 00:00:00+00:00,1.289,1.316,1.278,1.314,7074903.0
2022-10-15 12:00:00+00:00,1.314,1.386,1.301,1.339,12126051.0
2022-10-16 00:00:00+00:00,1.34,1.363,1.317,1.352,4319893.0
2022-10-16 12:00:00+00:00,1.352,1.363,1.311,1.345,3673953.0
2022-10-17 00:00:00+00:00,1.345,1.427,1.337,1.399,14449774.0
2022-10-17 12:00:00+00:00,1.399,1.582,1.389,1.532,37567619.0
2022-10-18 00:00:00+00:00,1.532,1.547,1.474,1.499,19519914.0
2022-10-18 12:00:00+00:00,1.498,1.54,1.443,1.462,19279678.0
2022-10-19 00:00:00+00:00,1.463,1.489,1.4,1.406,9669208.0
2022-10-19 12:00:00+00:00,1.406,1.445,1.381,1.398,10353342.0
2022-10-20 00:00:00+00:00,1.398,1.51,1.383,1.484,14561913.0
2022-10-20 12:00:00+00:00,1.484,1.51,1.46,1.506,24019767.0
2022-10-21 00:00:00+00:00,1.505,1.505,1.435,1.458,28831327.0
2022-10-21 12:00:00+00:00,1.457,1.558,1.441,1.528,20260656.0
2022-10-22 00:00:00+00:00,1.528,1.534,1.49,1.497,6670847.0
2022-10-22 12:00:00+00:00,1.498,1.536,1.49,1.515,5974543.0
2022-10-23 00:00:00+00:00,1.515,1.53,1.461,1.47,5095449.0
2022-10-23 12:00:00+00:00,1.471,1.54,1.432,1.536,9128203.0
2022-10-24 00:00:00+00:00,1.537,1.586,1.5,1.562,9098582.0
2022-10-24 12:00:00+00:00,1.561,1.579,1.502,1.51,13745347.0
2022-10-25 00:00:00+00:00,1.51,1.528,1.477,1.51,6008998.0
2022-10-25 12:00:00+00:00,1.51,1.699,1.501,1.642,23246384.0
2022-10-26 00:00:00+00:00,1.643,1.75,1.643,1.683,24134778.0
2022-10-26 12:00:00+00:00,1.684,1.75,1.672,1.712,20149562.0
2022-10-27 00:00:00+00:00,1.713,1.729,1.648,1.678,11761398.0
2022-10-27 12:00:00+00:00,1.678,1.715,1.613,1.631,13440691.0
2022-10-28 00:00:00+00:00,1.63,1.694,1.595,1.603,10428924.0
2022-10-28 12:00:00+00:00,1.603,1.7,1.592,1.671,9607300.0
2022-10-29 00:00:00+00:00,1.67,1.761,1.665,1.671,9873465.0
2022-10-29 12:00:00+00:00,1.671,1.689,1.614,1.632,9001507.0
2022-10-30 00:00:00+00:00,1.633,1.678,1.605,1.613,5378421.0
2022-10-30 12:00:00+00:00,1.613,1.615,1.506,1.553,8274292.0
2022-10-31 00:00:00+00:00,1.553,1.574,1.5,1.558,7088452.0
2022-10-31 12:00:00+00:00,1.558,1.559,1.495,1.529,5376800.0
2022-11-01 00:00:00+00:00,1.528,1.541,1.484,1.504,4316552.0
2022-11-01 12:00:00+00:00,1.505,1.509,1.457,1.491,4905649.0
2022-11-02 00:00:00+00:00,1.492,1.528,1.445,1.464,6048909.0
2022-11-02 12:00:00+00:00,1.463,1.547,1.442,1.528,10466607.0
2022-11-03 00:00:00+00:00,1.527,1.562,1.505,1.521,6530436.0
2022-11-03 12:00:00+00:00,1.522,1.631,1.5,1.62,7861980.0
2022-11-04 00:00:00+00:00,1.619,1.786,1.593,1.692,13153187.0
2022-11-04 12:00:00+00:00,1.691,1.851,1.691,1.75,13479371.0
2022-11-05 00:00:00+00:00,1.75,1.823,1.702,1.739,7552773.0
2022-11-05 12:00:00+00:00,1.738,1.746,1.666,1.701,4526501.0
2022-11-06 00:00:00+00:00,1.7,1.71,1.663,1.677,3371391.0
2022-11-06 12:00:00+00:00,1.677,1.702,1.567,1.574,4522656.0
2022-11-07 00:00:00+00:00,1.574,1.632,1.551,1.608,5906669.0
2022-11-07 12:00:00+00:00,1.607,1.736,1.593,1.678,10074154.0
2022-11-08 00:00:00+00:00,1.679,1.714,1.46,1.545,14350005.0
2022-11-08 12:00:00+00:00,1.545,1.675,1.21,1.295,25909518.0
2022-11-09 00:00:00+00:00,1.295,1.313,1.033,1.109,14899738.0
2022-11-09 12:00:00+00:00,1.109,1.143,0.87,0.923,22957610.0
2022-11-10 00:00:00+00:00,0.922,1.0668,0.899,1.0559,11925745.0
2022-11-10 12:00:00+00:00,1.0549,1.2366,1.0503,1.1989,13442961.0
2022-11-11 00:00:00+00:00,1.1992,1.2229,1.1368,1.2175,8881806.0
2022-11-11 12:00:00+00:00,1.2176,1.2694,1.114,1.1827,11402215.0
2022-11-12 00:00:00+00:00,1.1834,1.1886,1.0623,1.1286,7855035.0
2022-11-12 12:00:00+00:00,1.1284,1.1339,1.0801,1.0925,2281881.0
2022-11-13 00:00:00+00:00,1.0927,1.1284,1.0399,1.0546,4153374.0
2022-11-13 12:00:00+00:00,1.0545,1.0759,1.038,1.055,3499518.0
2022-11-14 00:00:00+00:00,1.0544,1.0883,0.974,1.0628,5321024.0
2022-11-14 12:00:00+00:00,1.0625,1.136,1.0501,1.1185,6115626.0
2022-11-15 00:00:00+00:00,1.1186,1.1852,1.1138,1.1718,7961913.0
2022-11-15 12:00:00+00:00,1.1727,1.2416,1.1639,1.199,11703718.0
2022-11-16 00:00:00+00:00,1.1991,1.2429,1.17,1.1961,5942562.0
2022-11-16 12:00:00+00:00,1.1964,1.273,1.1534,1.218,18117472.0
2022-11-17 00:00:00+00:00,1.2183,1.2604,1.2,1.2211,17321718.0
2022-11-17 12:00:00+00:00,1.2211,1.25,1.1616,1.2307,11544606.0
2022-11-18 00:00:00+00:00,1.2307,1.2927,1.2264,1.264,10117008.0
2022-11-18 12:00:00+00:00,1.2636,1.272,1.22,1.2213,9357224.0
2022-11-19 00:00:00+00:00,1.2212,1.2253,1.168,1.2093,8078460.0
2022-11-19 12:00:00+00:00,1.2094,1.2393,1.1841,1.1969,4420496.0
2022-11-20 00:00:00+00:00,1.1967,1.1978,1.1397,1.1409,5707075.0
2022-11-20 12:00:00+00:00,1.141,1.1645,1.0928,1.1088,5078454.0
2022-11-21 00:00:00+00:00,1.1074,1.118,1.0795,1.0909,6789842.0
2022-11-21 12:00:00+00:00,1.0906,1.1154,1.0487,1.1071,7682384.0
2022-11-22 00:00:00+00:00,1.1071,1.1263,1.0478,1.0616,4058604.0
2022-11-22 12:00:00+00:00,1.0613,1.158,1.0504,1.123,7024039.0
2022-11-23 00:00:00+00:00,1.1234,1.1797,1.105,1.1629,5031635.0
2022-11-23 12:00:00+00:00,1.1633,1.175,1.1231,1.1611,3959595.0
2022-11-24 00:00:00+00:00,1.1605,1.1869,1.1285,1.1375,4196835.0
2022-11-24 12:00:00+00:00,1.1375,1.1493,1.1208,1.1388,3441928.0
2022-11-25 00:00:00+00:00,1.1389,1.146,1.1088,1.1257,3380503.0
2022-11-25 12:00:00+00:00,1.1259,1.1381,1.1053,1.1114,2409530.0
2022-11-26 00:00:00+00:00,1.1114,1.133,1.1068,1.1152,2652106.0
2022-11-26 12:00:00+00:00,1.1155,1.1226,1.078,1.0808,3257748.0
2022-11-27 00:00:00+00:00,1.0812,1.111,1.0805,1.0921,2674222.0
2022-11-27 12:00:00+00:00,1.0922,1.1093,1.072,1.0748,2566284.0
2022-11-28 00:00:00+00:00,1.0746,1.0759,1.0134,1.06,4772506.0
2022-11-28 12:00:00+00:00,1.06,1.0821,1.0465,1.0795,4058853.0
2022-11-29 00:00:00+00:00,1.0797,1.1272,1.0624,1.1093,4165004.0
2022-11-29 12:00:00+00:00,1.1086,1.1186,1.0837,1.0969,4152118.0
2022-11-30 00:00:00+00:00,1.097,1.1598,1.0967,1.1153,4713390.0
2022-11-30 12:00:00+00:00,1.1158,1.1466,1.115,1.1346,6670932.0
2022-12-01 00:00:00+00:00,1.1346,1.149,1.1211,1.13,3696285.0
2022-12-01 12:00:00+00:00,1.1302,1.1388,1.0899,1.1062,4781705.0
2022-12-02 00:00:00+00:00,1.1057,1.1196,1.0775,1.1104,3453833.0
2022-12-02 12:00:00+00:00,1.1103,1.1263,1.0938,1.1258,3959743.0
2022-12-03 00:00:00+00:00,1.1256,1.1259,1.0942,1.1021,2641731.0
2022-12-03 12:00:00+00:00,1.1026,1.1113,1.0873,1.0921,1919018.0
2022-12-04 00:00:00+00:00,1.093,1.1045,1.0819,1.0888,1905004.0
2022-12-04 12:00:00+00:00,1.0894,1.1166,1.0873,1.1055,2343496.0
2022-12-05 00:00:00+00:00,1.1053,1.1412,1.1009,1.1222,3405718.0
2022-12-05 12:00:00+00:00,1.122,1.122,1.06,1.0768,3890123.0
2022-12-06 00:00:00+00:00,1.077,1.0848,1.0634,1.0649,3253108.0
2022-12-06 12:00:00+00:00,1.0651,1.0706,1.0492,1.0604,4402041.0
