Date,Open,High,Low,Close,Volume
2022-09-19 00:00:00+00:00,1.802,1.979,1.559,1.573,16968243.0
2022-09-26 00:00:00+00:00,1.572,1.729,1.425,1.432,32914667.0
2022-10-03 00:00:00+00:00,1.432,1.625,1.41,1.456,52188277.0
2022-10-10 00:00:00+00:00,1.456,1.469,1.11,1.345,110313268.0
2022-10-17 00:00:00+00:00,1.345,1.582,1.337,1.536,225382240.0
2022-10-24 00:00:00+00:00,1.537,1.761,1.477,1.553,174149649.0
2022-10-31 00:00:00+00:00,1.553,1.851,1.442,1.574,99201264.0
2022-11-07 00:00:00+00:00,1.574,1.736,0.87,1.055,157540229.0
2022-11-14 00:00:00+00:00,1.0544,1.2927,0.974,1.1088,126787356.0
2022-11-21 00:00:00+00:00,1.1074,1.1869,1.0478,1.0748,59125255.0
2022-11-28 00:00:00+00:00,1.0746,1.1598,1.0134,1.1055,53233618.0
2022-12-05 00:00:00+00:00,1.1053,1.1412,0.9967,1.029,55817327.0
2022-12-12 00:00:00+00:00,1.0288,1.167,0.9614,0.9806,124446005.0
2022-12-19 00:00:00+00:00,0.9806,1.0033,0.8744,0.9684,116668509.0
2022-12-26 00:00:00+00:00,0.9685,1.1157,0.9318,1.0794,402748860.0
2023-01-02 00:00:00+00:00,1.0799,2.7478,1.0545,1.9696,1528576940.0
2023-01-09 00:00:00+00:00,1.969,2.4682,1.7011,2.2224,803518905.0
2023-01-16 00:00:00+00:00,2.222,2.5562,1.8612,2.2084,481132149.0
2023-01-23 00:00:00+00:00,2.2081,2.8372,2.1944,2.3,470789083.0
2023-01-30 00:00:00+00:00,2.3008,2.5292,1.8581,2.0473,381506545.0
2023-02-06 00:00:00+00:00,2.0473,2.999,1.9893,2.5082,1153742319.0
2023-02-13 00:00:00+00:00,2.5085,3.3306,2.1959,2.9431,687449564.0
2023-02-20 00:00:00+00:00,2.9437,3.214,2.6268,3.1207,573411563.0
2023-02-27 00:00:00+00:00,3.1204,3.3,2.3662,2.622,839287563.0
2023-03-06 00:00:00+00:00,2.6221,2.6705,1.99,2.4512,934944582.0
2023-03-13 00:00:00+00:00,2.4512,3.0444,2.2398,2.471,904687292.0
2023-03-20 00:00:00+00:00,2.471,2.5375,2.01,2.1483,584580890.0
2023-03-27 00:00:00+00:00,2.1484,2.4996,2.029,2.3368,633889615.0
2023-04-03 00:00:00+00:00,2.3367,2.8137,2.2704,2.3437,488460221.0
2023-04-10 00:00:00+00:00,2.3436,2.668,2.1891,2.5731,595241342.0
2023-04-17 00:00:00+00:00,2.5729,2.5959,1.9832,2.0755,354063029.0
2023-04-24 00:00:00+00:00,2.0755,2.2449,1.9458,2.0256,324653181.0
2023-05-01 00:00:00+00:00,2.0258,2.05,1.7772,1.8269,389917709.0
2023-05-08 00:00:00+00:00,1.827,1.981,1.5602,1.9267,937168310.0
2023-05-15 00:00:00+00:00,1.9268,2.5665,1.8961,2.0676,1094434733.0
2023-05-22 00:00:00+00:00,2.0676,2.1328,1.9295,2.0973,481570544.0
2023-05-29 00:00:00+00:00,2.0972,2.38,2.0236,2.2737,516671313.0
2023-06-05 00:00:00+00:00,2.2739,2.4536,1.64,1.8257,721642117.0
2023-06-12 00:00:00+00:00,1.826,1.9082,1.6145,1.7105,464631305.0
2023-06-19 00:00:00+00:00,1.7105,2.0415,1.687,1.9341,371490782.0
2023-06-26 00:00:00+00:00,1.934,2.1823,1.7975,2.1234,341951026.0
2023-07-03 00:00:00+00:00,2.1234,2.2477,1.886,1.9226,305389381.0
2023-07-10 00:00:00+00:00,1.9228,2.5288,1.8582,2.1768,540486166.0
2023-07-17 00:00:00+00:00,2.1767,2.2276,1.971,2.0451,406755290.0
2023-07-24 00:00:00+00:00,2.0453,2.059,1.8294,1.8916,305601561.0
2023-07-31 00:00:00+00:00,1.8916,1.9582,1.7674,1.8312,265739161.0
2023-08-07 00:00:00+00:00,1.8312,1.9391,1.77,1.8159,157340306.0
2023-08-14 00:00:00+00:00,1.8158,1.8586,1.3769,1.6702,284584593.0
2023-08-21 00:00:00+00:00,1.6702,1.7338,1.5007,1.5895,197013204.0
2023-08-28 00:00:00+00:00,1.5894,1.6909,1.5015,1.5244,149640193.0
2023-09-04 00:00:00+00:00,1.5245,1.625,1.4512,1.4811,115151203.0
2023-09-11 00:00:00+00:00,1.4811,1.5908,1.4193,1.5092,118962247.0
2023-09-18 00:00:00+00:00,1.5091,1.6058,1.4482,1.4637,99736552.0
2023-09-25 00:00:00+00:00,1.4637,1.73,1.4304,1.6945,187259335.0
2023-10-02 00:00:00+00:00,1.6946,1.7003,1.5098,1.5897,150859694.0
2023-10-09 00:00:00+00:00,1.5898,1.6273,1.4676,1.6061,145825269.0
2023-10-16 00:00:00+00:00,1.6061,1.73,1.4548,1.7163,191233043.0
2023-10-23 00:00:00+00:00,1.7164,1.9888,1.68,1.8276,258857248.0
2023-10-30 00:00:00+00:00,1.8279,2.0824,1.6993,2.0194,204895343.0
2023-11-06 00:00:00+00:00,2.0194,2.4992,1.8621,2.2713,469415858.0
2023-11-13 00:00:00+00:00,2.2712,2.6039,2.0336,2.3741,458033443.0
