Date,Open,High,Low,Close,Volume
2020-01-06 00:00:00+00:00,45.32,51.99,43.8,51.33,1671737.438
2020-01-13 00:00:00+00:00,51.33,63.39,48.9,57.64,4473426.533
2020-01-20 00:00:00+00:00,57.63,59.49,50.68,56.27,1902632.192
2020-01-27 00:00:00+00:00,56.32,73.61,55.92,70.01,6095426.177
2020-02-03 00:00:00+00:00,69.99,78.52,66.74,77.09,6125984.035
2020-02-10 00:00:00+00:00,77.1,84.78,67.34,74.9,8092834.952
2020-02-17 00:00:00+00:00,74.74,80.08,64.31,79.66,7271151.817
2020-02-24 00:00:00+00:00,79.62,79.84,56.24,57.78,11032446.648
2020-03-02 00:00:00+00:00,57.77,64.02,50.28,50.99,6319520.36
2020-03-09 00:00:00+00:00,51.08,52.29,23.68,36.42,15476051.779
2020-03-16 00:00:00+00:00,36.4,43.78,29.23,35.42,8003249.702
2020-03-23 00:00:00+00:00,35.41,41.3,34.51,37.12,5125530.135
2020-03-30 00:00:00+00:00,37.1,43.16,37.09,40.37,3610533.109
2020-04-06 00:00:00+00:00,40.34,47.72,40.33,41.98,4620502.675
2020-04-13 00:00:00+00:00,41.98,44.46,37.87,42.23,4622563.929
2020-04-20 00:00:00+00:00,42.2,45.67,39.54,44.56,5857613.744
2020-04-27 00:00:00+00:00,44.58,50.89,43.2,48.11,7605911.94
2020-05-04 00:00:00+00:00,48.12,49.21,39.0,42.04,7500242.04
2020-05-11 00:00:00+00:00,42.04,44.52,39.24,43.68,4574456.432
2020-05-18 00:00:00+00:00,43.68,46.61,41.59,42.04,4281344.196
2020-05-25 00:00:00+00:00,42.05,48.27,41.63,45.65,3490517.504
2020-06-01 00:00:00+00:00,45.64,50.06,43.7,46.63,5377683.865
2020-06-08 00:00:00+00:00,46.63,47.25,41.86,44.03,3328578.738
2020-06-15 00:00:00+00:00,44.05,45.06,41.7,43.04,2521248.79
2020-06-22 00:00:00+00:00,43.04,44.74,38.94,41.37,3290726.519
2020-06-29 00:00:00+00:00,41.37,42.33,40.27,41.6,2803332.385
2020-07-06 00:00:00+00:00,41.59,45.98,41.52,44.78,4404267.484
