Date,Open,High,Low,Close,Volume
2022-06-01 12:00:00+00:00,1.36,1.3889,1.0353,1.2336,129815300.9
2022-06-02 00:00:00+00:00,1.2327,1.3095,1.05,1.2802,129149442.0
2022-06-02 12:00:00+00:00,1.2809,1.62,1.265,1.546,604608101.4
2022-06-03 00:00:00+00:00,1.5455,1.65,1.2881,1.3292,398544373.4
2022-06-03 12:00:00+00:00,1.33,1.44,1.3038,1.3615,197165588.9
2022-06-04 00:00:00+00:00,1.3614,1.4848,1.293,1.3763,189425454.1
2022-06-04 12:00:00+00:00,1.3761,1.448,1.3222,1.3921,184411865.5
2022-06-05 00:00:00+00:00,1.3916,1.4333,1.2781,1.3185,125604100.2
2022-06-05 12:00:00+00:00,1.3181,1.3254,1.1493,1.1654,226461979.4
2022-06-06 00:00:00+00:00,1.1644,1.3429,1.1395,1.2555,184313698.1
2022-06-06 12:00:00+00:00,1.2555,1.369,1.2226,1.3201,146629819.3
2022-06-07 00:00:00+00:00,1.3204,1.3219,1.1532,1.1791,134967626.4
2022-06-07 12:00:00+00:00,1.1797,1.2248,1.0457,1.1067,152698117.8
2022-06-08 00:00:00+00:00,1.107,1.1186,0.892,1.0062,178070669.3
2022-06-08 12:00:00+00:00,1.0063,1.0249,0.6968,0.7295,209116900.2
2022-06-09 00:00:00+00:00,0.7287,0.91,0.721,0.845,296886822.4
2022-06-09 12:00:00+00:00,0.8446,0.8565,0.765,0.8232,184953394.9
2022-06-10 00:00:00+00:00,0.8235,0.9547,0.794,0.909,302347123.3
2022-06-10 12:00:00+00:00,0.9092,0.968,0.8532,0.8794,353610006.9
2022-06-11 00:00:00+00:00,0.8794,0.9277,0.7807,0.803,218309836.4
2022-06-11 12:00:00+00:00,0.8029,0.8199,0.7258,0.7619,177133060.6
2022-06-12 00:00:00+00:00,0.762,0.7758,0.6222,0.6823,321371134.4
2022-06-12 12:00:00+00:00,0.6823,0.7598,0.6334,0.6451,201065995.1
2022-06-13 00:00:00+00:00,0.6444,0.6687,0.4967,0.5441,371445521.3
2022-06-13 12:00:00+00:00,0.5439,0.5933,0.5032,0.544,212538798.4
2022-06-14 00:00:00+00:00,0.5444,0.6261,0.5111,0.5493,207809359.9
2022-06-14 12:00:00+00:00,0.5493,0.585,0.527,0.5645,135825851.3
2022-06-15 00:00:00+00:00,0.5646,0.594,0.4699,0.5237,182222277.4
2022-06-15 12:00:00+00:00,0.5234,0.6031,0.4846,0.5925,171554047.8
2022-06-16 00:00:00+00:00,0.5925,0.6279,0.5,0.5146,134329816.4
2022-06-16 12:00:00+00:00,0.5144,0.5522,0.4796,0.4897,147810690.2
2022-06-17 00:00:00+00:00,0.4898,0.5281,0.4848,0.5128,146698440.3
2022-06-17 12:00:00+00:00,0.5129,0.5245,0.495,0.5182,93007997.0
2022-06-18 00:00:00+00:00,0.518,0.5281,0.4465,0.4634,147008957.9
2022-06-18 12:00:00+00:00,0.4635,0.4658,0.3945,0.4489,173867877.8
2022-06-19 00:00:00+00:00,0.4489,0.5018,0.4351,0.4877,135753587.4
2022-06-19 12:00:00+00:00,0.4875,0.528,0.476,0.5079,96403564.6
2022-06-20 00:00:00+00:00,0.5079,0.5461,0.4696,0.5369,131560026.1
2022-06-20 12:00:00+00:00,0.5369,0.5381,0.4812,0.5013,103963661.0
2022-06-21 00:00:00+00:00,0.5013,0.5502,0.4904,0.5151,96943166.5
2022-06-21 12:00:00+00:00,0.515,0.5746,0.5056,0.5136,117570074.3
2022-06-22 00:00:00+00:00,0.5138,0.5153,0.4784,0.4962,89781165.2
2022-06-22 12:00:00+00:00,0.4962,0.5141,0.4577,0.4618,82547605.7
2022-06-23 00:00:00+00:00,0.4618,0.513,0.4599,0.5064,78584988.3
2022-06-23 12:00:00+00:00,0.5063,0.5318,0.4776,0.5225,79517756.5
2022-06-24 00:00:00+00:00,0.5225,0.59,0.5108,0.5855,119321667.9
2022-06-24 12:00:00+00:00,0.5856,0.644,0.5745,0.5895,297648272.1
2022-06-25 00:00:00+00:00,0.5895,0.6556,0.566,0.6238,241972869.2
2022-06-25 12:00:00+00:00,0.6238,0.6277,0.5493,0.5813,155996944.1
