Date,Open,High,Low,Close,Volume
2020-02-06 00:00:00+00:00,2.182,2.231,2.174,2.197,527927.5
2020-02-06 12:00:00+00:00,2.198,2.222,2.122,2.177,1094103.3
2020-02-07 00:00:00+00:00,2.177,2.297,2.174,2.246,1165110.6
2020-02-07 12:00:00+00:00,2.246,2.247,2.172,2.195,967782.1
2020-02-08 00:00:00+00:00,2.196,2.208,2.01,2.132,1569232.9
2020-02-08 12:00:00+00:00,2.132,2.324,2.126,2.291,2035858.2
2020-02-09 00:00:00+00:00,2.291,2.477,2.283,2.436,2809659.5
2020-02-09 12:00:00+00:00,2.434,2.75,2.396,2.648,8297965.6
2020-02-10 00:00:00+00:00,2.65,2.728,2.457,2.587,4772249.4
2020-02-10 12:00:00+00:00,2.587,2.725,2.56,2.632,4097498.4
2020-02-11 00:00:00+00:00,2.632,2.676,2.563,2.659,2018370.9
2020-02-11 12:00:00+00:00,2.659,2.974,2.655,2.918,5258238.9
2020-02-12 00:00:00+00:00,2.918,3.435,2.918,3.27,5600988.8
2020-02-12 12:00:00+00:00,3.27,3.62,3.12,3.313,7270373.3
2020-02-13 00:00:00+00:00,3.314,3.357,2.871,3.099,5467911.2
2020-02-13 12:00:00+00:00,3.1,3.397,3.082,3.132,5165298.4
2020-02-14 00:00:00+00:00,3.13,3.4,3.052,3.372,4117226.7
2020-02-14 12:00:00+00:00,3.373,3.562,3.324,3.49,5699981.8
2020-02-15 00:00:00+00:00,3.49,3.565,3.331,3.413,3063131.6
2020-02-15 12:00:00+00:00,3.413,3.478,2.983,3.207,7699364.2
2020-02-16 00:00:00+00:00,3.205,3.308,3.13,3.182,2316374.7
2020-02-16 12:00:00+00:00,3.182,3.283,2.73,3.245,7085305.1
2020-02-17 00:00:00+00:00,3.243,3.253,2.773,2.908,5329875.7
2020-02-17 12:00:00+00:00,2.906,3.187,2.757,3.163,6370569.7
2020-02-18 00:00:00+00:00,3.165,3.352,3.098,3.291,3958486.6
2020-02-18 12:00:00+00:00,3.29,3.564,3.106,3.44,7213007.9
2020-02-19 00:00:00+00:00,3.44,3.806,3.347,3.797,6110174.7
2020-02-19 12:00:00+00:00,3.797,3.95,3.342,3.545,9797344.0
2020-02-20 00:00:00+00:00,3.547,3.877,3.51,3.596,10070428.1
2020-02-20 12:00:00+00:00,3.596,3.71,3.444,3.609,8703307.6
2020-02-21 00:00:00+00:00,3.608,3.765,3.521,3.687,5222518.0
2020-02-21 12:00:00+00:00,3.686,3.765,3.382,3.479,6492133.3
2020-02-22 00:00:00+00:00,3.479,3.483,3.317,3.422,4866556.7
2020-02-22 12:00:00+00:00,3.421,3.67,3.244,3.31,6106906.0
2020-02-23 00:00:00+00:00,3.311,3.607,3.305,3.452,5110716.5
2020-02-23 12:00:00+00:00,3.452,3.548,3.397,3.526,3854254.4
2020-02-24 00:00:00+00:00,3.526,3.539,3.183,3.306,6322561.5
2020-02-24 12:00:00+00:00,3.306,3.311,2.958,3.186,8999316.9
2020-02-25 00:00:00+00:00,3.185,3.2,2.91,3.03,5860876.1
2020-02-25 12:00:00+00:00,3.03,3.08,2.707,2.809,12370949.4
2020-02-26 00:00:00+00:00,2.81,2.839,2.531,2.594,10199332.1
2020-02-26 12:00:00+00:00,2.592,2.99,2.534,2.758,20870288.9
2020-02-27 00:00:00+00:00,2.757,2.891,2.55,2.79,11359956.9
2020-02-27 12:00:00+00:00,2.79,3.003,2.702,2.805,8897309.1
2020-02-28 00:00:00+00:00,2.804,2.911,2.62,2.698,6681928.5
2020-02-28 12:00:00+00:00,2.698,2.883,2.551,2.788,6602286.8
2020-02-29 00:00:00+00:00,2.788,2.998,2.787,2.889,6862257.2
2020-02-29 12:00:00+00:00,2.889,2.93,2.73,2.736,4909637.7
2020-03-01 00:00:00+00:00,2.737,2.853,2.696,2.776,4569458.8
2020-03-01 12:00:00+00:00,2.774,2.831,2.57,2.618,7939621.8
2020-03-02 00:00:00+00:00,2.62,2.816,2.55,2.779,6181428.0
2020-03-02 12:00:00+00:00,2.779,2.895,2.729,2.803,7328803.9
2020-03-03 00:00:00+00:00,2.803,2.804,2.679,2.801,6215878.4
2020-03-03 12:00:00+00:00,2.801,2.825,2.635,2.763,7054095.9
2020-03-04 00:00:00+00:00,2.763,2.979,2.731,2.82,7091177.7
2020-03-04 12:00:00+00:00,2.82,3.104,2.79,3.103,9642799.1
2020-03-05 00:00:00+00:00,3.103,3.31,3.065,3.173,14233075.7
2020-03-05 12:00:00+00:00,3.172,3.28,3.015,3.091,11146531.6
2020-03-06 00:00:00+00:00,3.095,3.233,3.036,3.18,10012183.3
2020-03-06 12:00:00+00:00,3.18,3.192,3.061,3.18,7170300.9
2020-03-07 00:00:00+00:00,3.18,3.267,3.115,3.181,7218008.0
2020-03-07 12:00:00+00:00,3.182,3.24,2.976,2.99,10736987.2
2020-03-08 00:00:00+00:00,2.99,2.992,2.8,2.884,9186019.2
2020-03-08 12:00:00+00:00,2.883,2.884,2.555,2.596,17206091.4
2020-03-09 00:00:00+00:00,2.596,2.672,2.349,2.47,14316384.9
2020-03-09 12:00:00+00:00,2.469,2.556,2.264,2.543,18731273.0
2020-03-10 00:00:00+00:00,2.543,2.692,2.479,2.66,12678722.9
2020-03-10 12:00:00+00:00,2.662,2.75,2.52,2.595,19492203.0
2020-03-11 00:00:00+00:00,2.595,2.686,2.494,2.536,8244972.1
2020-03-11 12:00:00+00:00,2.536,2.582,2.293,2.512,16483174.4
2020-03-12 00:00:00+00:00,2.512,2.526,1.425,1.635,27579954.2
2020-03-12 12:00:00+00:00,1.631,1.81,1.256,1.33,31939718.4
2020-03-13 00:00:00+00:00,1.33,1.711,0.931,1.65,32557449.3
2020-03-13 12:00:00+00:00,1.65,1.946,1.303,1.787,28158093.3
2020-03-14 00:00:00+00:00,1.787,1.843,1.577,1.672,13542614.4
2020-03-14 12:00:00+00:00,1.671,1.745,1.538,1.587,9862926.9
2020-03-15 00:00:00+00:00,1.588,1.65,1.559,1.628,7971695.6
2020-03-15 12:00:00+00:00,1.63,1.771,1.427,1.546,13764636.0
2020-03-16 00:00:00+00:00,1.546,1.548,1.125,1.163,16406342.3
2020-03-16 12:00:00+00:00,1.164,1.397,1.136,1.325,18506760.9
2020-03-17 00:00:00+00:00,1.327,1.483,1.288,1.393,13072488.0
2020-03-17 12:00:00+00:00,1.393,1.47,1.307,1.365,14591715.2
2020-03-18 00:00:00+00:00,1.364,1.426,1.307,1.342,6768675.4
2020-03-18 12:00:00+00:00,1.341,1.411,1.285,1.401,10196803.3
2020-03-19 00:00:00+00:00,1.402,1.523,1.36,1.513,9675629.0
2020-03-19 12:00:00+00:00,1.514,1.746,1.479,1.631,23633830.0
2020-03-20 00:00:00+00:00,1.631,1.853,1.602,1.758,14326515.0
2020-03-20 12:00:00+00:00,1.76,1.886,1.48,1.685,21699878.2
2020-03-21 00:00:00+00:00,1.686,1.766,1.583,1.666,8912621.4
2020-03-21 12:00:00+00:00,1.668,1.733,1.608,1.664,10543997.5
2020-03-22 00:00:00+00:00,1.666,1.723,1.629,1.652,6419442.0
2020-03-22 12:00:00+00:00,1.652,1.657,1.455,1.476,11603574.9
2020-03-23 00:00:00+00:00,1.474,1.55,1.442,1.502,5176349.2
2020-03-23 12:00:00+00:00,1.502,1.7,1.502,1.675,11548763.1
2020-03-24 00:00:00+00:00,1.674,1.782,1.62,1.743,9231324.2
2020-03-24 12:00:00+00:00,1.742,1.779,1.678,1.76,9547440.6
2020-03-25 00:00:00+00:00,1.761,1.794,1.647,1.669,9604558.6
2020-03-25 12:00:00+00:00,1.669,1.756,1.663,1.713,5355358.0
2020-03-26 00:00:00+00:00,1.714,1.761,1.702,1.719,3869219.5
2020-03-26 12:00:00+00:00,1.719,1.76,1.701,1.758,3500881.1
2020-03-27 00:00:00+00:00,1.758,1.782,1.71,1.714,2655854.4
2020-03-27 12:00:00+00:00,1.715,1.726,1.565,1.589,5097779.1
2020-03-28 00:00:00+00:00,1.588,1.615,1.537,1.578,4864654.8
2020-03-28 12:00:00+00:00,1.578,1.591,1.509,1.562,5701335.3
2020-03-29 00:00:00+00:00,1.564,1.581,1.518,1.549,2389068.5
2020-03-29 12:00:00+00:00,1.548,1.559,1.466,1.468,3519373.8
2020-03-30 00:00:00+00:00,1.468,1.61,1.461,1.598,4299665.2
2020-03-30 12:00:00+00:00,1.597,1.663,1.563,1.606,4553124.9
2020-03-31 00:00:00+00:00,1.608,1.631,1.567,1.575,2671628.5
2020-03-31 12:00:00+00:00,1.575,1.64,1.552,1.611,3509626.9
2020-04-01 00:00:00+00:00,1.611,1.62,1.564,1.587,2781766.2
2020-04-01 12:00:00+00:00,1.588,1.634,1.525,1.607,5318210.7
2020-04-02 00:00:00+00:00,1.607,1.709,1.592,1.707,6126299.3
