Date,Open,High,Low,Close,Volume
2020-02-05 00:00:00+00:00,65.99,73.26,64.77,71.22,83798.339
2020-02-06 00:00:00+00:00,71.22,73.47,67.76,70.17,69289.16
2020-02-07 00:00:00+00:00,70.21,72.25,68.03,68.59,98172.843
2020-02-08 00:00:00+00:00,68.61,72.34,66.0,70.13,89554.027
2020-02-09 00:00:00+00:00,70.14,73.1,68.85,71.43,73579.213
2020-02-10 00:00:00+00:00,71.43,71.65,68.0,69.9,76113.401
2020-02-11 00:00:00+00:00,69.9,73.21,68.24,72.75,92413.848
2020-02-12 00:00:00+00:00,72.8,75.27,72.37,73.61,109908.374
2020-02-13 00:00:00+00:00,73.61,76.01,70.1,72.12,121454.499
2020-02-14 00:00:00+00:00,72.13,73.39,70.47,72.96,82366.846
2020-02-15 00:00:00+00:00,72.97,73.09,62.43,64.53,106902.644
2020-02-16 00:00:00+00:00,64.53,66.62,53.42,60.06,177638.011
2020-02-17 00:00:00+00:00,60.04,66.16,54.82,64.21,249737.318
2020-02-18 00:00:00+00:00,64.22,66.5,60.07,65.91,220269.2
2020-02-19 00:00:00+00:00,65.97,69.67,60.7,62.07,124006.937
2020-02-20 00:00:00+00:00,62.07,64.2,58.01,60.8,181149.109
2020-02-21 00:00:00+00:00,60.78,64.03,59.9,61.63,112631.857
2020-02-22 00:00:00+00:00,61.59,62.3,60.01,60.86,62341.265
2020-02-23 00:00:00+00:00,60.82,63.85,60.81,63.4,107643.865
2020-02-24 00:00:00+00:00,63.4,64.38,58.92,60.76,154634.058
2020-02-25 00:00:00+00:00,60.73,61.01,56.16,57.11,121131.633
2020-02-26 00:00:00+00:00,57.12,58.07,48.2,51.38,230130.046
2020-02-27 00:00:00+00:00,51.38,55.15,47.97,52.98,200530.652
2020-02-28 00:00:00+00:00,53.02,54.18,48.71,50.79,155193.102
2020-02-29 00:00:00+00:00,50.83,52.19,48.96,48.98,131075.268
2020-03-01 00:00:00+00:00,48.99,51.6,48.01,49.08,147671.281
2020-03-02 00:00:00+00:00,49.11,52.99,48.85,52.39,110757.843
