Date,Open,High,Low,Close,Volume
2020-02-03 00:00:00+00:00,65.99,73.47,64.77,71.43,414393.582
2020-02-10 00:00:00+00:00,71.43,76.01,53.42,60.06,766797.623
2020-02-17 00:00:00+00:00,60.04,69.67,54.82,63.4,1057779.551
2020-02-24 00:00:00+00:00,63.4,64.38,47.97,49.08,1140366.04
2020-03-02 00:00:00+00:00,49.11,53.58,42.01,42.81,793782.604
2020-03-09 00:00:00+00:00,42.86,44.22,16.91,25.66,2150042.674
2020-03-16 00:00:00+00:00,25.66,36.23,21.26,29.45,1914320.519
2020-03-23 00:00:00+00:00,29.46,33.2,28.16,28.17,651519.965
2020-03-30 00:00:00+00:00,28.17,33.95,28.17,32.52,601355.785
2020-04-06 00:00:00+00:00,32.52,42.2,32.48,36.37,1727849.816
2020-04-13 00:00:00+00:00,36.4,47.44,33.83,46.4,1751562.251
2020-04-20 00:00:00+00:00,46.4,48.6,40.77,44.61,2721847.836
2020-04-27 00:00:00+00:00,44.66,49.04,42.34,44.82,1382994.224
2020-05-04 00:00:00+00:00,44.83,47.59,38.75,40.95,1203612.932
2020-05-11 00:00:00+00:00,40.9,47.49,37.82,46.18,1197181.519
2020-05-18 00:00:00+00:00,46.17,50.5,44.44,45.03,1485130.876
2020-05-25 00:00:00+00:00,45.04,56.4,44.17,51.54,1295576.755
2020-06-01 00:00:00+00:00,51.54,55.49,50.0,52.29,1382748.712
2020-06-08 00:00:00+00:00,52.29,55.62,48.13,51.11,1049923.837
2020-06-15 00:00:00+00:00,51.14,54.0,48.13,50.51,1069340.44
2020-06-22 00:00:00+00:00,50.54,61.5,50.32,51.97,1906110.411
2020-06-29 00:00:00+00:00,51.95,54.47,49.68,51.16,1118861.357
2020-07-06 00:00:00+00:00,51.17,61.19,51.13,58.72,1536765.365
2020-07-13 00:00:00+00:00,58.76,64.0,56.76,58.39,2112111.661
2020-07-20 00:00:00+00:00,58.42,67.43,56.85,66.28,1949199.86
2020-07-27 00:00:00+00:00,66.25,95.4,66.2,84.48,3679116.833
2020-08-03 00:00:00+00:00,84.48,103.0,79.86,92.14,3646464.331
2020-08-10 00:00:00+00:00,92.18,95.75,76.34,85.5,3655973.114
2020-08-17 00:00:00+00:00,85.5,91.0,71.62,84.44,2852018.732
2020-08-24 00:00:00+00:00,84.44,84.88,70.5,81.29,2477224.225
2020-08-31 00:00:00+00:00,81.29,86.21,51.22,58.94,3529584.462
2020-09-07 00:00:00+00:00,58.93,67.09,55.19,62.62,2179759.141
2020-09-14 00:00:00+00:00,62.58,65.08,55.17,57.66,1463883.337
2020-09-21 00:00:00+00:00,57.66,58.59,50.34,55.6,1346757.371
2020-09-28 00:00:00+00:00,55.61,68.56,55.58,63.16,2457773.159
2020-10-05 00:00:00+00:00,63.1,73.7,58.75,72.52,2258269.972
2020-10-12 00:00:00+00:00,72.52,75.82,60.82,64.49,2423491.408
2020-10-19 00:00:00+00:00,64.49,67.17,56.44,62.77,2294208.309
2020-10-26 00:00:00+00:00,62.75,63.86,54.15,58.17,1778848.74
2020-11-02 00:00:00+00:00,58.19,63.0,51.58,60.64,2491419.277
2020-11-09 00:00:00+00:00,60.63,66.09,56.97,61.22,2960732.645
2020-11-16 00:00:00+00:00,61.23,74.23,59.97,68.89,4006647.799
2020-11-23 00:00:00+00:00,68.9,90.13,63.48,75.07,5988902.166
2020-11-30 00:00:00+00:00,75.13,82.32,68.38,74.64,2560928.625
2020-12-07 00:00:00+00:00,74.66,76.86,62.45,68.25,1472680.382
2020-12-14 00:00:00+00:00,68.24,78.1,66.3,73.77,1816898.486
2020-12-21 00:00:00+00:00,73.76,77.83,46.74,67.04,2697884.149
2020-12-28 00:00:00+00:00,67.06,71.46,54.29,59.53,3589715.613
2021-01-04 00:00:00+00:00,59.52,99.0,56.68,96.63,6209037.588
2021-01-11 00:00:00+00:00,96.6,120.89,77.64,102.37,9284206.333
2021-01-18 00:00:00+00:00,102.3,113.39,76.2,90.14,3091123.4
2021-01-25 00:00:00+00:00,90.14,96.65,77.03,85.77,2448470.493
2021-02-01 00:00:00+00:00,85.73,99.29,84.15,92.41,2478692.35
2021-02-08 00:00:00+00:00,92.48,191.27,91.25,156.62,5342708.286
2021-02-15 00:00:00+00:00,156.63,191.4,124.72,162.11,4946208.498
2021-02-22 00:00:00+00:00,162.19,163.22,103.24,111.42,4357991.423
2021-03-01 00:00:00+00:00,111.39,131.1,110.12,130.26,2547712.836
2021-03-08 00:00:00+00:00,130.24,160.54,124.51,143.25,2695263.421
2021-03-15 00:00:00+00:00,143.26,161.5,130.15,148.38,2039581.582
2021-03-22 00:00:00+00:00,148.39,149.96,116.12,145.04,2301054.39
2021-03-29 00:00:00+00:00,145.03,195.22,141.88,187.34,3905779.502
2021-04-05 00:00:00+00:00,187.35,232.57,162.4,222.91,3467640.018
2021-04-12 00:00:00+00:00,222.81,299.83,170.0,260.2,5131101.632
2021-04-19 00:00:00+00:00,260.17,265.3,167.26,202.55,4449042.426
2021-04-26 00:00:00+00:00,202.51,259.87,200.25,243.58,2057130.592
2021-05-03 00:00:00+00:00,243.58,344.57,230.57,305.62,4105499.68
2021-05-10 00:00:00+00:00,305.58,372.62,242.82,262.41,6805671.204
2021-05-17 00:00:00+00:00,262.26,262.99,87.06,114.46,8132453.527
2021-05-24 00:00:00+00:00,114.47,186.99,114.4,149.85,6347517.141
2021-05-31 00:00:00+00:00,149.83,175.1,140.89,149.57,3034945.752
2021-06-07 00:00:00+00:00,149.57,155.16,118.64,133.05,3008184.042
2021-06-14 00:00:00+00:00,133.0,146.68,119.34,131.74,2313776.254
2021-06-21 00:00:00+00:00,131.72,133.2,86.17,107.58,4280394.623
2021-06-28 00:00:00+00:00,107.57,133.26,104.53,120.25,3000992.538
2021-07-05 00:00:00+00:00,120.28,122.2,105.01,110.82,2207859.879
2021-07-12 00:00:00+00:00,110.83,112.94,91.72,93.86,2004302.196
2021-07-19 00:00:00+00:00,93.88,102.67,82.91,100.4,2933941.864
2021-07-26 00:00:00+00:00,100.4,123.52,97.91,115.53,2625685.24
2021-08-02 00:00:00+00:00,115.51,136.44,109.24,123.51,2284000.353
2021-08-09 00:00:00+00:00,123.52,156.69,118.75,155.03,2652975.729
2021-08-16 00:00:00+00:00,155.03,161.97,135.01,160.78,2948783.195
2021-08-23 00:00:00+00:00,160.79,171.3,139.75,148.5,2868311.973
2021-08-30 00:00:00+00:00,148.52,176.18,139.06,173.07,3128083.389
2021-09-06 00:00:00+00:00,173.11,176.38,112.26,131.22,4081227.998
2021-09-13 00:00:00+00:00,131.22,146.5,120.9,133.63,2675931.99
2021-09-20 00:00:00+00:00,133.6,134.05,101.82,111.11,3442945.959
2021-09-27 00:00:00+00:00,111.11,119.41,100.11,118.82,3038317.984
2021-10-04 00:00:00+00:00,118.82,129.74,112.53,119.52,3043071.221
2021-10-11 00:00:00+00:00,119.52,141.33,111.43,137.77,3540733.541
2021-10-18 00:00:00+00:00,137.81,190.78,135.11,173.09,6473628.163
2021-10-25 00:00:00+00:00,173.08,188.14,140.79,167.37,4997194.549
2021-11-01 00:00:00+00:00,167.4,180.33,155.31,164.28,2522804.795
2021-11-08 00:00:00+00:00,164.29,220.24,163.6,202.0,6011771.136
2021-11-15 00:00:00+00:00,202.0,234.49,141.24,229.61,7783649.927
2021-11-22 00:00:00+00:00,229.79,305.64,195.38,241.25,10861739.085
2021-11-29 00:00:00+00:00,241.27,255.01,141.17,182.54,7950915.559
2021-12-06 00:00:00+00:00,182.55,186.98,155.67,169.54,5664265.987
2021-12-13 00:00:00+00:00,169.55,172.33,143.15,157.6,4524617.594
2021-12-20 00:00:00+00:00,157.61,172.53,149.08,167.59,3617026.434
2021-12-27 00:00:00+00:00,167.57,173.69,140.75,152.92,3456518.859
2022-01-03 00:00:00+00:00,152.83,156.05,126.74,144.0,5538095.06
2022-01-10 00:00:00+00:00,143.93,149.93,136.19,141.22,4569004.108
2022-01-17 00:00:00+00:00,141.22,142.98,82.61,97.37,5153593.826
2022-01-24 00:00:00+00:00,97.35,100.34,81.19,92.93,4875622.95
2022-01-31 00:00:00+00:00,92.93,126.07,88.05,124.31,4704672.9
2022-02-07 00:00:00+00:00,124.3,134.94,113.1,116.86,5035219.229
2022-02-14 00:00:00+00:00,116.87,129.9,103.33,107.79,3408070.65
2022-02-21 00:00:00+00:00,107.79,115.0,84.64,102.46,4935953.267
2022-02-28 00:00:00+00:00,102.48,131.11,99.85,107.26,4634581.65
2022-03-07 00:00:00+00:00,107.3,160.4,103.56,154.7,14875942.524
2022-03-14 00:00:00+00:00,154.69,183.37,135.35,173.6,10382831.637
2022-03-21 00:00:00+00:00,173.61,216.56,165.63,210.21,7100861.695
2022-03-28 00:00:00+00:00,210.23,211.82,170.72,179.72,4071261.577
2022-04-04 00:00:00+00:00,179.75,183.83,157.88,161.03,6388333.272
2022-04-11 00:00:00+00:00,161.03,163.59,137.1,137.31,4149432.641
2022-04-18 00:00:00+00:00,137.32,170.99,132.62,160.84,6368328.656
2022-04-25 00:00:00+00:00,160.83,170.5,108.36,124.01,6428069.841
2022-05-02 00:00:00+00:00,124.0,139.85,108.71,114.0,5199714.609
