Date,Open,High,Low,Close,Volume
2020-09-23 07:00:00+00:00,3.93,4.4124,3.93,4.0274,692395.0
2020-09-23 07:30:00+00:00,4.025,4.09,3.8728,4.09,975955.0
2020-09-23 08:00:00+00:00,4.0848,4.3151,3.9801,4.2346,653300.0
2020-09-23 08:30:00+00:00,4.234,4.3,4.1129,4.2278,461925.0
2020-09-23 09:00:00+00:00,4.2237,4.2272,4.0563,4.14,329084.0
2020-09-23 09:30:00+00:00,4.1394,4.2236,4.0564,4.203,289695.0
2020-09-23 10:00:00+00:00,4.2039,4.28,4.0814,4.1324,410197.0
2020-09-23 10:30:00+00:00,4.1278,4.3368,4.1151,4.2245,444106.0
2020-09-23 11:00:00+00:00,4.2251,4.3797,4.17,4.1894,451944.0
2020-09-23 11:30:00+00:00,4.1886,4.255,4.11,4.1785,288377.0
2020-09-23 12:00:00+00:00,4.1807,4.1807,4.031,4.0947,335115.0
2020-09-23 12:30:00+00:00,4.0888,4.395,4.0826,4.2901,510129.0
2020-09-23 13:00:00+00:00,4.29,4.5484,4.245,4.482,531249.0
2020-09-23 13:30:00+00:00,4.4811,4.6092,4.39,4.4083,699291.0
2020-09-23 14:00:00+00:00,4.4129,4.4527,4.1562,4.2916,472030.0
2020-09-23 14:30:00+00:00,4.2898,4.3433,4.2102,4.2145,292490.0
2020-09-23 15:00:00+00:00,4.2154,4.2736,4.027,4.0603,369328.0
2020-09-23 15:30:00+00:00,4.0601,4.1485,4.0339,4.1002,369125.0
2020-09-23 16:00:00+00:00,4.108,4.1903,4.0751,4.122,404119.0
2020-09-23 16:30:00+00:00,4.1208,4.2768,4.1077,4.2754,328615.0
2020-09-23 17:00:00+00:00,4.2754,4.2768,4.115,4.1723,219539.0
2020-09-23 17:30:00+00:00,4.1707,4.331,4.12,4.156,350721.0
2020-09-23 18:00:00+00:00,4.1571,4.275,4.1048,4.1364,223770.0
2020-09-23 18:30:00+00:00,4.1363,4.2166,3.966,3.9683,337000.0
2020-09-23 19:00:00+00:00,3.9683,4.0785,3.6723,3.8071,711079.0
2020-09-23 19:30:00+00:00,3.8059,3.8262,3.6374,3.7149,477083.0
2020-09-23 20:00:00+00:00,3.7155,3.9082,3.7026,3.816,268530.0
2020-09-23 20:30:00+00:00,3.8156,3.8235,3.3778,3.5468,651088.0
2020-09-23 21:00:00+00:00,3.5468,3.6173,3.424,3.5,453543.0
2020-09-23 21:30:00+00:00,3.4999,3.5788,3.451,3.5539,243290.0
2020-09-23 22:00:00+00:00,3.5542,3.6899,3.49,3.533,316915.0
2020-09-23 22:30:00+00:00,3.533,3.6003,3.4582,3.5673,228538.0
2020-09-23 23:00:00+00:00,3.5706,3.6261,3.424,3.4583,244456.0
2020-09-23 23:30:00+00:00,3.4597,3.5481,3.4398,3.5136,255245.0
2020-09-24 00:00:00+00:00,3.5123,3.558,3.4171,3.5357,288828.0
2020-09-24 00:30:00+00:00,3.5369,3.6206,3.5217,3.5534,197658.0
2020-09-24 01:00:00+00:00,3.5521,3.74,3.5452,3.6641,239712.0
2020-09-24 01:30:00+00:00,3.6641,3.7163,3.6007,3.6229,132081.0
2020-09-24 02:00:00+00:00,3.624,3.833,3.594,3.7434,291110.0
2020-09-24 02:30:00+00:00,3.7463,3.818,3.6961,3.7141,202348.0
2020-09-24 03:00:00+00:00,3.7127,3.8094,3.6894,3.7396,182384.0
2020-09-24 03:30:00+00:00,3.7398,3.82,3.7079,3.7311,182186.0
2020-09-24 04:00:00+00:00,3.731,3.7735,3.6571,3.6657,158489.0
2020-09-24 04:30:00+00:00,3.6636,3.667,3.565,3.5935,189699.0
2020-09-24 05:00:00+00:00,3.5958,3.666,3.5201,3.6576,202552.0
2020-09-24 05:30:00+00:00,3.6572,3.658,3.5512,3.6124,163486.0
2020-09-24 06:00:00+00:00,3.6098,3.7645,3.6097,3.7078,191050.0
2020-09-24 06:30:00+00:00,3.7069,3.7377,3.67,3.6706,154855.0
2020-09-24 07:00:00+00:00,3.6705,3.9339,3.6705,3.8729,296884.0
2020-09-24 07:30:00+00:00,3.8739,3.8891,3.7982,3.8357,250207.0
2020-09-24 08:00:00+00:00,3.8313,4.0205,3.8303,4.0178,269645.0
2020-09-24 08:30:00+00:00,4.0178,4.2199,3.97,4.0975,506270.0
2020-09-24 09:00:00+00:00,4.0988,4.2041,3.9494,3.99,485421.0
2020-09-24 09:30:00+00:00,3.994,4.05,3.8539,4.0233,337397.0
2020-09-24 10:00:00+00:00,4.022,4.175,4.0001,4.1181,292040.0
2020-09-24 10:30:00+00:00,4.1178,4.2919,4.0265,4.2547,351315.0
2020-09-24 11:00:00+00:00,4.2484,4.3782,4.2237,4.334,487495.0
2020-09-24 11:30:00+00:00,4.3349,4.435,4.2805,4.2978,314802.0
2020-09-24 12:00:00+00:00,4.2956,4.3503,4.1552,4.204,313748.0
2020-09-24 12:30:00+00:00,4.2062,4.2115,3.9263,3.9556,478420.0
2020-09-24 13:00:00+00:00,3.9508,4.0725,3.9368,4.0219,381353.0
